model_code,sku,productidweb,category_code,brand,Cảm biến,Định vị,Môn thể thao,SIM,Thực hiện cuộc gọi,Tiện ích,"Chuẩn chống nước, bụi",Theo dõi sức khoẻ,Tiện ích khác,Hiển thị thông báo,Thời gian sử dụng,Thời gian sạc,Dung lượng pin,Cổng sạc,Sản xuất tại,Thời gian ra mắt,Ngôn ngữ,Màn hình hiển thị,Kích thước màn hình,Độ phân giải,Kích thước mặt,Chất liệu mặt,Chất liệu khung viền,Chất liệu dây,Độ rộng dây,Chu vi cổ tay,Thay thế,Dài,Ngang,Dày,Khối lượng máy,Thiết kế,Độ phân giải camera trước,Chip xử lý (CPU),Bộ nhớ,Hệ điều hành,Tương thích,Ứng dụng,Kết nối,Đường kính,giá gốc,giá khuyến mãi,khuyến mãi quà
170498,0232391002022,292695,49,Kidcare,Cảm biến trọng lực,Beidou | GPS,Chạy bộ,Nano SIM,Nghe gọi độc lập,Cài đặt nhanh các chế độ với 1 nút nhấn | Vi xử lý tối ưu E-MAX | Phích cắm VDE,"Kháng nước IPX8 (Rửa tay, đi mưa)",Tính quãng đường chạy | Chế độ luyện tập | Đếm số bước chân,Đồng hồ bấm giờ | Báo thức | Thay mặt đồng hồ | Trò chơi | Kết nối bạn bè | Lộ trình đường đi | Chụp ảnh | Cuộc gọi khẩn cấp SOS | Chặn số lạ gọi đến | Màn hình cảm ứng | Cuộc gọi bí mật | Định vị hỗ trợ cảnh chụp ảnh | Thời khóa biểu,Tin nhắn | Cuộc gọi,Khoảng 4 ngày,"Khoảng 3.5 giờ, chỉ dùng củ sạc 5V-1A",1000 mAh,Dây sạc nam châm,Trung Quốc,10/2022,Tiếng Việt | Tiếng Anh,TFT,1.3 inch,240 x 240 pixels,43.4 mm,Kính cường lực,Nhựa,Silicone,2 cm,16 - 25 cm,Có,43,43,9,58,Không,2 camera 2 MP,SL8521ET,512 MB,XunOS,iOS 10 trở lên | Android 4.3 trở lên,Mibro,Wifi | LBS | AGPS | Định vị bằng thuật toán AI | Định vị trong nhà (Indoor Positioning),,,,"Huy hiệu cài balo cho bé - Kidcare | Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
172291,0232391002812,359401,49,Zobo,Con quay hồi chuyển | Cảm biến nhịp tim quang học (PPG) | Cao áp kế | Khí áp kế | Đo SpO2 | Gia tốc kế | Cảm biến nhiệt độ môi trường | Cảm biến từ,BDS | Galileo | GLONASS | QZSS | GPS,"Bóng đá | Chạy bộ | Yoga | Thêm nhiều môn khác,... | Nhảy dây | Leo núi | Cầu lông | Đi bộ | Đạp xe",Không,Nghe gọi ngay trên đồng hồ,Không có,"Kháng nước IP68 (Tắm, đi mưa)",Theo dõi lượng calories | Áp lực (Căng thẳng) | Chế độ luyện tập | Đo nồng độ oxy trong máu (SpO2) | Theo dõi chu kỳ kinh nguyệt | Nhắc nhở ít vận động | Nhắc nhở uống nước | Theo dõi nhịp tim 24h | Đếm số bước chân | Bài tập thở | Theo dõi giấc ngủ,Nhắc nhở | Đồng hồ bấm giờ | Báo thức | Dự báo thời tiết | Điều khiển chơi nhạc | Thay mặt đồng hồ | Đồng hồ đếm ngược | Chế độ DND (Không làm phiền) | Nâng cổ tay sáng màn hình | Trợ lý giọng nói | Chế độ tiết kiệm năng lượng | Đèn pin | La bàn | Máy tính | Lịch | Danh thiếp | Danh bạ | Bàn phím số điện thoại | Điều chỉnh độ sáng màn hình | Lắc để chụp ảnh | Thời gian bật màn hình | Khóa mật khẩu | ChatAI - GPT | Màn hình chia đôi | Rung thông báo | Tìm điện thoại,Ứng dụng khác | Tin nhắn | Messenger (Facebook) | Viber | Line | WhatsApp | Email | Instagram | Cuộc gọi,Khoảng 5 ngày (Chế độ GPS) | Khoảng 10 ngày (sử dụng cơ bản),Khoảng 3 giờ,300 mAh,Đế sạc nam châm,Việt Nam,11/2025,Ngôn ngữ khác | Tiếng Trung | Tiếng Việt | Tiếng Anh,AMOLED,1.43 inch,466 x 466 pixels,42 mm,Kính thủy tinh,Hợp kim kẽm,Silicone,2 cm,16 - 25,Có,44,44,11,27,Không,Không,AB5691,128 MB,RTOS,iOS 10 trở lên | Android 5.0,FitCloudPro,Bluetooth v5.4,,1390000,1290000,"Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
172290,0232391002813,359400,49,Zobo,Con quay hồi chuyển | Cảm biến nhịp tim quang học (PPG) | Đo SpO2 | Gia tốc kế,Không có,"Bóng đá | Chạy bộ | Thêm nhiều môn khác,... | Nhảy dây | Leo núi | Cầu lông | Bóng rổ | Đi bộ | Đạp xe",Không,Nghe gọi ngay trên đồng hồ,Không có,"Kháng nước IP67 (Rửa tay, đi mưa)",Đo nồng độ oxy trong máu (SpO2) | Đo nhịp tim | Nhắc nhở uống nước | Đếm số bước chân | Theo dõi giấc ngủ,Đồng hồ bấm giờ | Báo thức | Dự báo thời tiết | Điều khiển chơi nhạc | Đồng hồ đếm ngược | Tìm đồng hồ | Màn hình dải màu rộng | Thiết kế kiểu dáng siêu mỏng | Tìm điện thoại,Ứng dụng khác | Tin nhắn | Messenger (Facebook) | Line | WhatsApp | Cuộc gọi,Khoảng 5 ngày (ở chế độ đồng hồ thông thường),Khoảng 2 giờ,200 mAh,Đế sạc nam châm,Trung Quốc,11/2025,Ngôn ngữ khác | Tiếng Trung | Tiếng Việt | Tiếng Anh,AMOLED,1.96,368 x 448 pixels,50.2 mm,Kính thủy tinh,Hợp kim kẽm,Silicone,2.2 cm,16 - 25,Có,50,46,9,30,Không,Không,AB5691,128 MB,RTOS,Android 5.0 | iOS 9.0 trở lên,FitCloudPro,Bluetooth v5.2,,1090000,990000,"Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
170956,0232391002118,309535,49,Zwatch,Cảm biến nhịp tim,,Bóng đá | Chạy bộ | Yoga | Nhảy dây | Cầu lông | Bóng rổ | Đi bộ | Đạp xe,Không có,Nghe gọi ngay trên đồng hồ,Màn hình luôn hiển thị,"Kháng nước IP67 (Rửa tay, đi mưa)",Đo nồng độ oxy trong máu (SpO2) | Đo nhịp tim | Theo dõi chu kỳ kinh nguyệt | Nhắc nhở ít vận động | Nhắc nhở uống nước | Theo dõi nhịp tim 24h | Đếm số bước chân | Theo dõi giấc ngủ,Đồng hồ bấm giờ | Báo thức | Điều khiển chơi nhạc | Thay mặt đồng hồ | Đồng hồ đếm ngược | Cuộc gọi khẩn cấp SOS | Màn hình luôn hiển thị | Màn hình cảm ứng | Massage | Loa và mic tích hợp,Zalo | Tin nhắn | Messenger (Facebook) | Line | Cuộc gọi,Khoảng 1-2 ngày (ở chế độ vận động) | Khoảng 2-4 ngày (ở chế độ cơ bản),Khoảng 2 giờ,280 mAh,Sạc không dây,Trung Quốc,07/2023,Tiếng Việt | Tiếng Anh,IPS LCD,2 inch,320 X 384 pixels,45 mm,Kính thường,Hợp kim nhôm,Silicone,2.2 cm,Hãng không công bố,Có,45,39,13,46,,Không,RTL8762DK,128 MB,Hãng không công bố,iOS 10 trở lên | Android 6.0 trở lên,WearPro,Bluetooth v5.0 | NFC,,780000,780000,"Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
170957,0232391002119,309536,49,Zwatch,Cảm biến nhịp tim,,Bóng đá | Chạy bộ | Yoga | Nhảy dây | Cầu lông | Bóng rổ | Đi bộ | Đạp xe,Không có,Nghe gọi ngay trên đồng hồ,Màn hình luôn hiển thị,"Kháng nước IP67 (Rửa tay, đi mưa)",Đo nồng độ oxy trong máu (SpO2) | Đo nhịp tim | Theo dõi chu kỳ kinh nguyệt | Nhắc nhở ít vận động | Nhắc nhở uống nước | Đếm số bước chân | Theo dõi giấc ngủ,Đồng hồ bấm giờ | Báo thức | Điều khiển chơi nhạc | Thay mặt đồng hồ | Đồng hồ đếm ngược | Cuộc gọi khẩn cấp SOS | Màn hình luôn hiển thị | Màn hình cảm ứng | Massage | Loa và mic tích hợp,Zalo | Tin nhắn | Messenger (Facebook) | Line | Cuộc gọi,Khoảng 1-2 ngày (ở chế độ vận động) | Khoảng 2-4 ngày (ở chế độ cơ bản),Khoảng 3 giờ,260 mAh,Sạc không dây,Trung Quốc,07/2023,Tiếng Việt | Tiếng Anh,IPS LCD,1.9,240  X 283 pixels,44 mm,Kính thường,Hợp kim nhôm,Silicone,2 cm,Hãng không công bố,Có,44,37,13,35,,Không,RTL8762DK,64 MB,Hãng không công bố,iOS 10 trở lên | Android 5.0 trở lên,WearPro,Bluetooth v5.0 | NFC,,590000,490000,"Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
171164,0232391002120,318631,49,Zwatch,Cảm biến nhịp tim,,Bóng đá | Chạy bộ | Yoga | Nhảy dây | Cầu lông | Bóng rổ | Đi bộ | Đạp xe,Không có,Nghe gọi ngay trên đồng hồ,Màn hình luôn hiển thị,"Kháng nước IP67 (Rửa tay, đi mưa)",Đo nồng độ oxy trong máu (SpO2) | Đo nhịp tim | Theo dõi chu kỳ kinh nguyệt | Nhắc nhở ít vận động | Nhắc nhở uống nước | Đếm số bước chân | Theo dõi giấc ngủ,Đồng hồ bấm giờ | Báo thức | Điều khiển chơi nhạc | Thay mặt đồng hồ | Đồng hồ đếm ngược | Cuộc gọi khẩn cấp SOS | Màn hình luôn hiển thị | Màn hình cảm ứng | Massage | Loa và mic tích hợp,Zalo | Tin nhắn | Messenger (Facebook) | Line | Cuộc gọi,Khoảng 1-2 ngày (ở chế độ vận động) | Khoảng 2-4 ngày (ở chế độ cơ bản),Khoảng 3 giờ,260 mAh,Sạc không dây,Trung Quốc,07/2023,Tiếng Việt | Tiếng Anh,IPS LCD,1.9,240  X 283 pixels,44 mm,Kính thường,Hợp kim nhôm,Silicone,2 cm,Hãng không công bố,Có,44,37,13,35,,Không,RTL8762DK,64 MB,Hãng không công bố,iOS 10 trở lên | Android 5.0 trở lên,WearPro,Bluetooth v5.0 | NFC,,590000,490000,"Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
171715,0232391002616,333919,49,Imoo,Cảm biến áp suất không khí | Con quay hồi chuyển | Cảm biến nhịp tim quang học (PPG) | Gia tốc kế | Cảm biến Hall,Wi-Fi Location | Galileo | GLONASS | QZSS | Beidou | GPS,Chạy bộ | Bơi lội | Gập bụng | Nhảy dây,Nano SIM,Nghe gọi độc lập,Kết nối Wifi SmartThings (cần gắn thêm phụ kiện) | Chế độ Breeze (gió tự nhiên) | Phích cắm VDE,"Kháng nước IPX8 (Rửa tay, đi mưa)",Nhiệt độ cơ thể | Tính lượng calories tiêu thụ | Đo nồng độ oxy trong máu (SpO2) | Đo nhịp tim | Đếm số bước chân,Đồng hồ bấm giờ | Báo thức | Thay mặt đồng hồ | Kết nối bạn bè | Chụp ảnh | Chặn số lạ gọi đến | Màn hình cảm ứng | Chế độ lớp học | Loa và mic tích hợp | Thoát nước | Tính năng nhận diện đối tượng AI | Nhận diện cảm xúc | Lịch sử hành trình | Nhận diện wifi | Lịch sử từ chối cuộc gọi | Tìm điện thoại,Tin nhắn,Khoảng 2 ngày (ở chế độ cơ bản) | Khoảng 7 ngày (ở chế độ chờ),Khoảng 2 giờ,740 mAh,Dây sạc nam châm,Trung Quốc,09/2024,Tiếng Trung | Tiếng Việt | Tiếng Anh,TFT-LCD,1.3 inch,240 x 240 pixels,42 mm,Kính thường,Nhựa,TPU,2 cm,16 - 25 cm,Có,56,42,16,65,Không,Camera kép HD,UWS6131,4 GB,Threadx 5.6,iOS 11 trở lên | Android 6.0 trở lên,imoo Watch Phone,Bluetooth v4.2,,5490000,4590000,"Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
172004,0232391002686,339861,49,OPPO,Cảm biến địa từ | Cảm biến ánh sáng môi trường | Cảm biến áp suất không khí | Con quay hồi chuyển | Cảm biến nhịp tim quang học (PPG) | Gia tốc kế | Cảm biến nhiệt độ da,Galileo | GLONASS | QZSS | Beidou | GPS,"Bóng đá | Chạy bộ | Yoga | Bơi lội | Thêm nhiều môn khác,... | Trượt tuyết | Nhảy dây | Leo núi | Cầu lông | Bóng rổ | Quần vợt | Đi bộ | Đạp xe",Không có,Nghe gọi ngay trên đồng hồ,Màn hình luôn hiển thị,"Kháng nước 5 ATM (Tắm, đi mưa thoải mái)","Tính quãng đường chạy | Theo dõi mức độ stress | Đo nồng độ oxy trong máu (SpO2) | Đo nhịp tim | Theo dõi nhịp thở | Nhắc nhở ít vận động | Theo dõi nhịp tim 24h | Nhắc nhở nhịp tim cao, thấp | Đếm số bước chân | Chấm điểm giấc ngủ | Theo dõi giấc ngủ","Đồng hồ bấm giờ | Báo thức | Dự báo thời tiết | Điều khiển chơi nhạc | Thay mặt đồng hồ | Đồng hồ đếm ngược | Màn hình cảm ứng | Tìm đồng hồ | Đèn pin | Lịch | Bài tập Gym và Fitness (Cardio, HIIT, Pilates,...) | Loa và mic tích hợp | Phát hiện bài tập | Sạc nhanh VOOC | Rung thông báo | Tìm điện thoại",Zalo | Tin nhắn | Messenger (Facebook) | Line | Cuộc gọi,Khoảng 5 ngày (ở chế độ đồng hồ thông minh) | Khoảng 16 ngày (Chế độ tiết kiệm pin),Khoảng 1 giờ,500 mAh,Đế sạc nam châm,Trung Quốc,07/2025,Tiếng Việt | Tiếng Anh,AMOLED,1.43 inch,466 x 466 pixels,46 mm,Kính cường lực,Titanium phủ PVD,Cao su,2.2 cm,13 - 21 cm,Có,43,43,11,81,Không,Không,Snapdragon W5 Gen 1,32 GB,ColorOS Watch,Android 9.0 trở lên,HeyTap Health,Wifi | Bluetooth v5.0 | NFC,,9490000,9190000,"Thu cũ đổi mới: Tài trợ thêm 3% | Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
172006,0232391002688,339865,49,OPPO,Cảm biến ánh sáng môi trường | Cảm biến nhịp tim quang học (PPG) | Gia tốc kế,Không có,"Chạy bộ | Yoga | Thêm nhiều môn khác,... | Đi bộ | Đạp xe",Không có,Nghe gọi ngay trên đồng hồ,Màn hình luôn hiển thị,"Kháng nước IP68 (Tắm, đi mưa)",Tính quãng đường chạy | Theo dõi mức độ stress | Đo nồng độ oxy trong máu (SpO2) | Đo nhịp tim | Theo dõi nhịp thở | Đếm số bước chân | Chấm điểm giấc ngủ | Theo dõi giấc ngủ,Đồng hồ bấm giờ | Báo thức | Dự báo thời tiết | Điều khiển chơi nhạc | Thay mặt đồng hồ | Đồng hồ đếm ngược | Màn hình cảm ứng | Tìm đồng hồ | Lịch | Rung thông báo | Tìm điện thoại,Zalo | Tin nhắn | Messenger (Facebook) | Gmail | Cuộc gọi,Khoảng 7 ngày (ở chế độ tiết kiệm pin) | Khoảng 3 ngày (ở chế độ đồng hồ thông minh),Khoảng 1 giờ,354 mAh,Đế sạc nam châm,Trung Quốc,07/2025,Tiếng Việt | Tiếng Anh,AMOLED,1.32 inch,466 x 466 pixels,43 mm,Kính cường lực,Thép không gỉ 316L mạ vàng PVD,Cao su,2 cm,13 - 21 cm,Có,43,43,11,59,Không,Không,Snapdragon W5 Gen 1 - BES2800BP,32 GB,ColorOS Watch Lite,Android 9.0 trở lên,HeyTap Health,Bluetooth v5.0,,,,"Thu cũ đổi mới: Tài trợ thêm 3% | Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
172005,0232391002687,339863,49,OPPO,Cảm biến ánh sáng môi trường | Cảm biến nhịp tim quang học (PPG) | Gia tốc kế,Không có,"Chạy bộ | Yoga | Thêm nhiều môn khác,... | Nhảy dây | Đi bộ | Đạp xe",Không có,Không có,Màn hình luôn hiển thị,"Kháng nước IP68 (Tắm, đi mưa)",Tính quãng đường chạy | Theo dõi mức độ stress | Đo nồng độ oxy trong máu (SpO2) | Đo nhịp tim | Theo dõi nhịp thở | Đếm số bước chân | Chấm điểm giấc ngủ | Theo dõi giấc ngủ,Đồng hồ bấm giờ | Báo thức | Dự báo thời tiết | Điều khiển chơi nhạc | Thay mặt đồng hồ | Đồng hồ đếm ngược | Màn hình cảm ứng | Tìm đồng hồ | Lịch | Rung thông báo | Tìm điện thoại,Zalo | Tin nhắn | Messenger (Facebook) | Gmail | Cuộc gọi,Khoảng 7 ngày (ở chế độ tiết kiệm pin) | Khoảng 3 ngày (ở chế độ đồng hồ thông minh),Khoảng 1 giờ,354 mAh,Đế sạc nam châm,Trung Quốc,07/2025,Tiếng Việt | Tiếng Anh,AMOLED,1.32 inch,466 x 466 pixels,43 mm,Kính cường lực,Thép không gỉ 316L mạ vàng PVD,Da,2 cm,13 - 20 cm,Có,43,43,11,47,Không,Không,Snapdragon W5 Gen 1 - BES2800BP,8 GB,ColorOS Watch Lite,Android 9.0 trở lên,HeyTap Health,Bluetooth v5.0,,7990000,7190000,"Thu cũ đổi mới: Tài trợ thêm 3% | Phiếu mua Bảng vẽ Kidcare trị giá 30.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
