model_code,sku,productidweb,category_code,brand,Tiện ích,Màn hình hiển thị,Kích thước màn hình,Độ phân giải,Ngang,Dày,Khối lượng máy,Kết nối,Màn hình cảm ứng,Tấm nền,Thời gian đáp ứng,Độ phủ màu,Số lượng,Độ sáng,Độ tương phản tĩnh,Loa,Vesa,Điện năng tiêu thụ,Cao,Ngang module phụ,Cao không chân,Độ dày không chân,Loại màn hình,giá gốc,giá khuyến mãi,khuyến mãi quà
171806,3641273000417,335630,73,Gigabyte,Gập màn hình lên xuống,Freesync | Giảm ánh sáng xanh,27 inch,Full HD (1920 x 1080),619,172,5,2 x HDMI 2.0 | 1 x DisplayPort 1.4 | 1 x Earphone Jack,Không cảm ứng,IPS,1 ms (MPRT),105% sRGB,16.7 triệu màu,300 cd/m2,1000:1,Không có,Có,23W,447,619,365,50,Phẳng,3490000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171805,3641273000416,335629,73,Gigabyte,Gập màn hình lên xuống,Freesync | Giảm ánh sáng xanh,24.5 inch,Full HD (1920 x 1080),556,179,3,2 x HDMI 2.0 | 1 x DisplayPort 1.4 | 1 x Earphone Jack,Không cảm ứng,IPS,1 ms (GTG),120% sRGB,16.7 triệu màu,300 cd/m2,1000:1,Có,Có,18W,402,556,321,51,Phẳng,3290000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171807,3641273000418,335631,73,Gigabyte,Gập màn hình lên xuống,Freesync | Giảm ánh sáng xanh,27 inch,QHD (2560 x 1440),619,172,5,2 x HDMI 2.0 | 1 x DisplayPort 1.4 | 1 x Earphone Jack,Không cảm ứng,IPS,1 ms (MPRT),100% sRGB,16.7 triệu màu,300 cd/m2,1000:1,Không có,Có,32W,447,619,365,50,Phẳng,5390000,4890000,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171371,3641273000331,326197,73,Aoc,Gập màn hình lên xuống,FreeSync Premium | Sai lệch màu Delta E< 2 | Công nghệ chống nháy - Flicker-free | AOC Low Input Lag | Chế độ HDR,27 inch,Full HD (1920 x 1080),612,227,5,1 x D-Sub (VGA) | 2 x HDMI 2.0 | 1 x DisplayPort 1.2 | 1 x Jack tai nghe 3.5 mm,Không cảm ứng,VA,0.5 ms (MPRT),98% NTSC | 120% sRGB | 90% DCI-P3,16.7 triệu màu,300 cd/m2,3000:1,Không có,Có,31 W,464,612,367,73,Cong,4418182,4418182,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171303,3641273000316,324060,73,Xiaomi,Thay đổi được chiều cao | Gập màn hình lên xuống | Điều chỉnh được độ nghiêng của màn hình,Sai lệch màu Delta E< 2 | Độ cong 1500R | Giảm ánh sáng xanh | AMD FreeSync Premium,34 inch,2K+ (3440 x 1440),811,210,6,2 x HDMI 2.0 | 2 x DisplayPort 1.4 | 1 x Jack tai nghe 3.5 mm,Không cảm ứng,VA,1 ms (MPRT),95% DCI-P3 | 100% sRGB,16.7 triệu màu,350 cd/m2,4000:1,Không có,Có,65 W,510,811,361,113,Cong,7390000,6690000,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171902,3641273000443,338144,73,Xiaomi,Thay đổi được chiều cao | Xoay màn hình 90 độ | Gập màn hình lên xuống | Điều chỉnh được màn hình quay trái - phải,HDR10 | Sai lệch màu Delta E< 1 | Low Blue Light,27 inch,UHD (3840 x 2160),613,185,5,2 x USB 2.0 | 2 x HDMI 2.0 | 1 x DisplayPort 1.4 | 1 x Type-C (90W output) | 1 x Audio Out,Không cảm ứng,IPS,6 ms (GTG),95% DCI-P3 | 100% sRGB,1.07 tỷ màu,360 cd/m2,1200:1,Không có,Có,120W,511,613,364,50,Phẳng,7390000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172242,3641273000478,358203,73,Xiaomi,Điều chỉnh được độ nghiêng của màn hình,DisplayHDR 400 | Freesync | Low Blue Light,27 inch,Full HD (1920 x 1080),611,173,3,1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 1 x Audio Out,Không cảm ứng,Fast IPS,1 ms (GTG),95% DCI-P3 | 100% sRGB,16.7 triệu màu,350 cd/m2,1000:1,Không có,Có,36W,476,611,363,45,Phẳng,3990000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172408,3641273000500,362653,73,Xiaomi,Điều chỉnh được độ nghiêng của màn hình,DisplayHDR 400 | Freesync | Giảm ánh sáng xanh | Adaptive-Sync,27 inch,QHD (2560 x 1440),612,173,4,2 x HDMI 2.0 | 2 x DisplayPort 1.4 | 1 x Audio Out,Không cảm ứng,IPS,1 ms (GTG),95% DCI-P3 | 100% sRGB,1.07 tỷ màu,400 cd/m2,Hãng không công bố,Không có,Có,Hãng không công bố,470,Hãng không công bố,Hãng không công bố,Hãng không công bố,Phẳng,5190000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172410,3641273000502,362656,73,Xiaomi,Điều chỉnh được độ nghiêng của màn hình,HDR10 | Giảm ánh sáng xanh,27 inch,QHD (2560 x 1440),612,169,3,1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 1 x Audio Out,Không cảm ứng,IPS,6 ms (GTG),95% DCI-P3 | 100% sRGB,16.7 triệu màu,300 cd/m2,Hãng không công bố,Không có,Có,Hãng không công bố,476,Hãng không công bố,Hãng không công bố,Hãng không công bố,Phẳng,4490000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172409,3641273000501,362654,73,Xiaomi,Điều chỉnh được độ nghiêng của màn hình,HDR10 | Chống ánh sáng xanh,23.8 inch,Full HD (1920 x 1080),539,170,3,1 x DisplayPort 1.4 | 1 x HDMI 2.0,Không cảm ứng,IPS,6 ms (GTG),99% sRGB,16.7 triệu màu,300 cd/m2,Hãng không công bố,Không có,Có,Hãng không công bố,433,Hãng không công bố,Hãng không công bố,Hãng không công bố,Phẳng,2690000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171926,3641273000446,339093,73,Singpc,Gập màn hình lên xuống,Less Blue Light,27 inch,Full HD (1920 x 1080),617,157,3,1 x VGA | 1 x HDMI,Không cảm ứng,IPS,5 ms,72% NTSC,16.7 triệu màu,250 cd/m2,1000:1,Không có,Có,36W,459,617,367,33,Phẳng,2390000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171925,3641273000445,339092,73,Singpc,Gập màn hình lên xuống,Less Blue Light,21.5 inch,Full HD (1920 x 1080),494,128,2,1 x VGA | 1 x HDMI,Không cảm ứng,IPS,5 ms,72% NTSC,16.7 triệu màu,250 cd/m2,1000:1,Không có,Có,36W,376,494,285,30,Phẳng,1590000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172159,3641273000471,344716,73,Singpc,Điều chỉnh được độ nghiêng của màn hình,Less Blue Light,23.8 inch,Full HD (1920 x 1080),539,128,3,1 x VGA | 1 x HDMI,Không cảm ứng,IPS,6.5 ms (GTG),72% NTSC,16.7 triệu màu,250 cd/m2,1000:1,Không có,Có,36W,411,539,321,29,Phẳng,1790000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172244,3641273000480,358205,73,Singpc,Điều chỉnh được độ nghiêng của màn hình,AMD FreeSync | Chống chói Anti-Glare | Less Blue Light,24.5 inch,Full HD (1920 x 1080),557,162,3,1 x VGA | 1 x HDMI,Không cảm ứng,IPS,1 ms (MPRT),95% sRGB | 72% NTSC,16.7 triệu màu,250 cd/m2,1000:1,Không có,Có,36 W,327,557,398,38,Phẳng,2150000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171500,3641273000340,328849,73,Msi,Gập màn hình lên xuống,Eyesergo | Adaptive-Sync | Chống chói Anti-Glare,24.5 inch,Full HD (1920 x 1080),556,188,4,1 x D-Sub (VGA) | 1 x Headphone-out | 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 1 x Line-in,Không cảm ứng,IPS,1 ms (MPRT),99% sRGB,16.7 triệu màu,300 cd/m2,1500:1,Có,Có,18W,413,556,321,42,Phẳng,2490000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171541,3641273000346,329690,73,Msi,Gập màn hình lên xuống,Công nghệ chống nháy - Flicker-free | Giảm ánh sáng xanh,21.45 inch,Full HD (1920 x 1080),494,182,3,1 x Headphone-out | 1 x HDMI 1.4 | 1 x DisplayPort 1.2,Không cảm ứng,VA,1 ms (MPRT),99% sRGB,16.7 triệu màu,250 cd/m2,3000:1,Không có,Có,15W,385,494,285,38,Phẳng,1850000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171716,3641273000399,334003,73,Msi,Gập màn hình lên xuống,HDR Ready | Adaptive-Sync | Chống chói Anti-Glare,24.5 inch,Full HD (1920 x 1080),560,174,1,1 x DisPlayport 1.2a | 1 x HDMI 1.4b | 1 x Headphone-out,Không cảm ứng,IPS,1 ms (MPRT),80% DCI-P3 | 85% Adobe RGB | 100% sRGB,16.7 triệu màu,250 cd/m2,1300:1,Không có,Không có,24W,397,560,328,28,Phẳng,2190000,,"Phiếu mua hàng Giá treo màn hình (Giá trị từ 500,000đ) trị giá 100,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
