model_code,sku,productidweb,category_code,brand_id,brand,Công nghệ làm lạnh,Sản xuất tại,Điện năng tiêu thụ,Công nghệ tiết kiệm điện,Tiện ích,Khối lượng máy,Bảo hành bộ phận,Loại máy,Công suất đầu ra,Nhãn năng lượng,Dài ống đồng,Cao lắp đặt,Chất liệu dàn tản nhiệt,Độ ồn,Dòng điện vào,Kích thước ống đồng,Số lượng,Dài phụ kiện chính,Độ dày phụ kiện chính,Khối lượng phụ kiện chính,Cao phụ kiện phụ,Dài phụ kiện phụ,Độ dày phụ kiện phụ,Khối lượng phụ kiện phụ,Dòng điện hoạt động,"Chuẩn chống nước, bụi",Loại Inverter,Chế độ gió,Dòng sản phẩm,Phạm vi sử dụng,Loại Gas,Bảo hành động cơ,Cao phụ kiện chính,Cao phụ kiện chính 2,Dài phụ kiện chính 2,Độ dày phụ kiện chính 2,giá gốc,giá khuyến mãi,khuyến mãi quà
180706,1751098000210,362465,36,7,Panasonic,Powerful,Malaysia,1,Inverter | ECO tích hợp A.I,"Nắp dàn lạnh có thể tháo rời, dễ dàng vệ sinh | Hẹn giờ bật, tắt máy | Điều khiển bằng điện thoại, có Wi-Fi | Hoạt động siêu êm Quiet | Sleep Mode | Chức năng khử ẩm | Dàn nóng phủ lớp BlueFin chống ăn mòn | Chức năng tự chẩn đoán lỗi | Tự khởi động lại khi có điện",,1 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,5 sao (Hiệu suất năng lượng 6.23),Tối thiểu 3m - Tối đa 30m,20m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm phủ BlueFin,Dàn lạnh: 45/34/29 dB - Dàn nóng: 51 dB,Dàn nóng hoặc dàn lạnh,6/12,Khoảng 7000 trang A4,106,24,12,61,82,29,33,1 pha,Nanoe-G lọc bụi mịn PM2.5,Máy lạnh Inverter,Đảo gió lên xuống trái phải tự động,2026,Từ 30 - 40m² (từ 80 đến 120m³),R-32,Máy nén 12 năm,29,,,,29490000,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
181142,1751098000128,335837,36,331,Gree,Turbo,Trung Quốc,0,Real Inverter,Hoạt động siêu êm Quiet | Chế độ tự làm sạch G-Clean | Chế độ Stand by 0.5W | Chức năng tự chẩn đoán lỗi | Có 7 cấp độ gió | Công nghệ BLACK FIN - tăng cường khả năng chống ăn mòn | 3 chế độ ngủ thông minh | Khóa trẻ em,,5 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,3 sao (Hiệu suất năng lượng 4.55),Tối thiểu 3m - Tối đa 15m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm được phủ lớp Black Fin,Dàn lạnh: 38 dB - Dàn nóng: 49 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,81,19,8,45,71,29,19,1 pha,Màng lọc kháng khuẩn mật độ cao,Máy lạnh Inverter,Đảo gió lên xuống tự động,2025,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 10 năm,26,,,,9990000,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
181142,1751098000129,336040,36,331,Gree,Turbo,Trung Quốc,1,Real Inverter,Hoạt động siêu êm Quiet | Chế độ tự làm sạch G-Clean | Chế độ Stand by 0.5W | Chức năng tự chẩn đoán lỗi | Có 7 cấp độ gió | Công nghệ BLACK FIN - tăng cường khả năng chống ăn mòn | 3 chế độ ngủ thông minh | Khóa trẻ em,,5 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,3 sao (Hiệu suất năng lượng 4.39),Tối thiểu 3m - Tối đa 20m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm được phủ lớp Black Fin,Dàn lạnh: 37 dB - Dàn nóng: 50 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,81,19,8,55,73,33,23,1 pha,Màng lọc kháng khuẩn mật độ cao,Máy lạnh Inverter,Đảo gió lên xuống tự động,2025,Từ 15 - 20m² (từ 40 đến 60m³),R-32,Máy nén 10 năm,26,,,,11690000,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
181142,1751098000130,336043,36,331,Gree,Turbo,Trung Quốc,1,Real Inverter,Hoạt động siêu êm Quiet | Chế độ tự làm sạch G-Clean | Chế độ Stand by 0.5W | Chức năng tự chẩn đoán lỗi | Có 7 cấp độ gió | Công nghệ BLACK FIN - tăng cường khả năng chống ăn mòn | 3 chế độ ngủ thông minh | Khóa trẻ em,,5 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,4 sao (Hiệu suất năng lượng 4.94),Tối thiểu 3m - Tối đa 15m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm được phủ lớp Black Fin,Dàn lạnh: 46 dB - Dàn nóng: 53 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,97,24,13,55,73,33,24,1 pha,Màng lọc kháng khuẩn mật độ cao,Máy lạnh Inverter,Đảo gió lên xuống tự động,2025,Từ 20 - 30m² (từ 60 đến 80m³),R-32,Máy nén 10 năm,33,,,,18090000,16790000,"Tặng gói bảo hành An Gia 2 năm - An Tâm tuyệt đối Xem chi tiết | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179701,3051098001626,320893,36,186,Midea,Turbo,Thái Lan,0,Inverter | iEco,"Chế độ ngủ đêm Sleep cho người già, trẻ nhỏ | Hẹn giờ bật, tắt máy | Màn hình hiển thị nhiệt độ trên dàn lạnh | Chức năng bật tắt đèn hiển thị khi làm việc | Khóa remote điều khiển",,3 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,4 sao (Hiệu suất năng lượng 5.06),Tiêu chuẩn 5m - Tối thiểu 3m - Tối đa 25m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm mạ Hyper Grapfins,Dàn lạnh: 33 dB - Dàn nóng: 54.5 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,71,19,7,46,72,23,16,1 pha,Bộ lọc bụi 2 lớp HD | Màng lọc chất môi lạnh,Máy lạnh Inverter,"Đảo gió lên xuống tự động, trái phải tùy chỉnh tay",2024,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 5 năm,28,,,,8590000,5190000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180666,1751098000198,361686,36,13,Funiki,Turbo+,Thái Lan,0,Inverter | Eco,"Hẹn giờ bật, tắt máy | Màn hình hiển thị nhiệt độ trên dàn lạnh | Sleep Mode | Chức năng tự chẩn đoán lỗi | Tự khởi động lại khi có điện | Chức năng tự làm sạch",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),Không,5 sao (Hiệu suất năng lượng 6.01),Tối thiểu 3m - Tối đa 15m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm được phủ lớp Golden Fin,Dàn lạnh: 37.5/30/27.5 dB - Dàn nóng: 53 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,82,19,8,49,72,27,19,1 pha,Không,Máy lạnh Inverter,Đảo gió lên xuống tự động,2026,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 2 năm,28,,,,9500000,8500000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180101,1751098000144,338854,36,8,LG,Có,Hàn Quốc,4,Smart Inverter,Hẹn giờ tắt máy | Chức năng khử ẩm | Chức năng tự chẩn đoán lỗi | Tự khởi động lại khi có điện,,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,Không,Tối thiểu 5m - Tối đa 50m,30m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm phủ lớp Gold-Fin,Dàn lạnh: 44 dB - Dàn nóng: 55 dB,Dàn nóng,10/16,Khoảng 7000 trang A4,105,105,30,84,95,33,59,1 pha,Không,Máy lạnh Inverter,Hướng gió 360 độ,2024,Từ 55 - 75m² (từ 165 đến 225m³),R-32,Máy nén 2 năm,33,,,,61090000,60740000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180100,1751098000143,338769,36,8,LG,Có,Hàn Quốc,3,Smart Inverter,Hẹn giờ tắt máy | Chức năng khử ẩm | Chức năng tự chẩn đoán lỗi | Tự khởi động lại khi có điện,,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,Không,Tối thiểu 5m - Tối đa 50m,30m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm phủ lớp Gold-Fin,Dàn lạnh: 40 dB - Dàn nóng: 55 dB,Dàn nóng,10/16,Khoảng 7000 trang A4,105,105,30,84,95,33,59,1 pha,Không,Máy lạnh Inverter,Hướng gió 360 độ,2024,Từ 40 - 60m² (từ 120 - 180m³),R-32,Máy nén 2 năm,33,,,,58890000,58540000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179836,1751098000023,327059,36,187,Aqua,Turbo,Thái Lan,0,Inverter | Cảm biến thông minh Eco,"Chức năng tự làm sạch dàn lạnh Self Clean | Hút ẩm thông minh Smart Dry | Kết nối IOT | Điều khiển bằng điện thoại, có Wi-Fi | Màn hình hiển thị nhiệt độ trên dàn lạnh | Sleep Mode | Chức năng tự chẩn đoán lỗi | Tự khởi động lại khi có điện",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,5 sao (Hiệu suất năng lượng 6.75),Tối thiểu 3m - Tối đa 15m,10m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm phủ BlueFin,Dàn lạnh: 32 dB - Dàn nóng: 52 dB,Dàn nóng hoặc dàn lạnh,6/12,Khoảng 7000 trang A4,82,21,12,54,70,24,29,1 pha,Công nghệ UVC Pro | Bộ lọc PM2.5,Máy lạnh Inverter,"Đảo gió lên xuống tự động, trái phải tùy chỉnh tay",2024,Dưới 15m² (từ 30 đến 45m³),R-32,Máy nén 12 năm,29,,,,14090000,13090000,"1 đổi 1 trong 730 ngày nếu sản phẩm lỗi kỹ thuật (Liên hệ Hãng kiểm tra lỗi và đổi) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179732,3051098001640,322606,36,8,LG,Jet Cool,Thái Lan,1,Dual Inverter | Energy Ctrl - Kiểm soát năng lượng chủ động 4 mức,"Hẹn giờ bật, tắt máy | Điều khiển bằng điện thoại, có Wi-Fi | Màn hình hiển thị nhiệt độ trên dàn lạnh | Thổi gió dễ chịu (cho trẻ em, người già) | Chế độ ngủ đêm tránh buốt | Công nghệ Gold-Fin chống ăn mòn | Chức năng tự chẩn đoán lỗi | Tự khởi động lại khi có điện | Chức năng tự làm sạch",,2 năm,Máy lạnh 1 chiều (chỉ làm lạnh),,5 sao (Hiệu suất năng lượng 5.29),Tối thiểu 3m - Tối đa 20m,15m,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm phủ lớp Gold-Fin,Dàn lạnh: 21 - 39 dB - Dàn nóng: 50 dB,Dàn lạnh,6/10,Khoảng 7000 trang A4,83,19,9,49,71,23,23,1 pha,Màng lọc sơ cấp | Màng lọc dị ứng | Bộ lọc PM2.5 | Lọc khí Ion Plasmaster tăng cường | Tạo ion lọc không khí,Máy lạnh Inverter,Đảo gió lên xuống trái phải tự động,2024,Từ 15 - 20m² (từ 40 đến 60m³),R-32,Máy nén 10 năm,30,,,,19390000,18390000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng mua Tivi và Loa karaoke trị giá 500,000đ Xem chi tiết | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
