model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Chất liệu thân vỏ,Tiện ích,Cao,Khối lượng máy,Loại máy,Công suất đầu ra,Số lượng,Dòng sản phẩm,Chất liệu ruột,Thương hiệu của,Tính năng an toàn,Tùy chỉnh nhiệt độ,Áp lực nước hoạt động,Thời gian sử dụng,Nhiệt độ làm nóng tối đa,Loại tấm thu nhiệt,Thời gian giữ nhiệt,Dài ống,Chất liệu khung viền,Chất liệu vòi sen,Chất liệu giá đỡ vòi sen,Vòi sen,Rộng,Dài,Dày,Lớp cách nhiệt,Bơm trợ lực,Dung lượng dung tích,giá gốc,giá khuyến mãi,khuyến mãi quà
165107,1750911000099,344397,41,355,Stiebel Eltron,Thái Lan,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Van điều chỉnh lưu lượng nước | Bơm trợ lực vận hành siêu êm | Hoạt động với áp lực nước thấp",34,2,Làm nóng trực tiếp,4500W,Không,2025,Không,Đức,Công tắc dòng chảy | Cầu dao chống rò điện ELCB | Bộ ổn định nhiệt kép | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước | Bảng mạch điện tử chịu nhiệt | Tương thích điện từ (EMC),Chỉnh nhiệt độ vô cấp,Tối thiểu 0.015 Mpa - Tối đa 0.5 Mpa,Nóng liền,Khoảng 55°C,Không,Không,Không,Không,Nhựa ABS mạ Chrome,Nhựa ABS cao cấp,Có kèm theo vòi sen 5 chế độ phun,21,Không,7,Không,Có,Không có bình chứa,4790000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164744,3050911000575,300035,41,185,Beko,Malaysia,,,34,2,Làm nóng trực tiếp,4500W,Không,2023,Không,Thổ Nhĩ Kỳ,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Bộ ổn định nhiệt kép | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Nhiều mức độ,Tối thiểu 0.1 Bar - Tối đa 6.0 Bar,Nóng liền,Khoảng 55°C,Không,Không,Không,Không,Nhựa cao cấp,Nhựa cao cấp,Có kèm theo vòi sen,21,,10,Không,Có,Không có bình chứa,3917455,3917455,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164728,3050911000553,299283,41,190,Sunhouse,Việt Nam,,Có màn hình hiển thị nhiệt độ,35,3,Làm nóng trực tiếp,4500W,Không,2022,Không,Việt Nam,Cầu dao chống rò điện ELCB | Bộ ổn định nhiệt kép | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Tùy chỉnh nhiệt độ nước,Tối thiểu 30 kPa - Tối đa 400 kPa,Nóng liền,Khoảng 55°C,Không,Không,Không,Không,Nhựa ABS cao cấp,Nhựa,Có kèm theo vòi sen 3 chế độ phun,21,,7,Hãng không công bố,Có,Không có bình chứa,,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164727,3050911000552,299282,41,190,Sunhouse,Việt Nam,,Có màn hình hiển thị nhiệt độ,35,3,Làm nóng trực tiếp,4500W,Không,2022,Không,Việt Nam,Cầu dao chống rò điện ELCB | Bộ ổn định nhiệt kép | Vỏ chống thấm nước IP25,16 mức công suất điều chỉnh,Tối thiểu 30 kPa - Tối đa 400 kPa,Nóng liền,Khoảng 55°C,Không,Không,Không,Không,Nhựa ABS cao cấp,Nhựa,Có kèm theo vòi sen 3 chế độ phun,21,,7,Hãng không công bố,Có,Không có bình chứa,,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164725,3050911000550,298838,41,351,Ariston,Việt Nam,,Đèn báo đang đun nóng,29,1,Làm nóng trực tiếp,4500W,Không,2022,Không,Italia,Hệ thống an toàn đồng bộ tích hợp ELCB chống giật | Bộ ổn định nhiệt kép | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước | Van xả áp an toàn | Hệ thống an toàn đồng bộ TSS | Vỏ bình nung làm từ vật liệu chống cháy,3 mức Thấp - Trung bình - Cao,Tối thiểu 20 kPa - Tối đa 380 kPa,Nóng liền,"Khoảng 45°C (±5°C), phụ thuộc vào nhiệt độ nước cấp và lưu lượng dòng chảy",Không,Không,Không,Không,Nhựa,Nhựa,Có kèm theo vòi sen 1 chế độ phun,23,Không,11,Không,Không có bơm trợ lực,Không có bình chứa,1790000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164720,3050911000549,297040,41,7,Panasonic,Malaysia,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Chế độ ghi nhớ sở thích U-memory | Chọn chế độ tắm U-mode | Vòi sen tích hợp Ag+ kháng khuẩn | Màn hình LCD",38,2,Làm nóng trực tiếp,4500W,Không,2022,Không,Nhật Bản,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Nhiều mức độ,Tối thiểu 0.1 Bar - Tối đa 3.87 Bar,Nóng liền,Khoảng 55°C,Không,Không,Không,Không,Nhựa ABS kháng khuẩn,Nhựa ABS kháng khuẩn,Có kèm theo vòi sen 3 chế độ phun,21,Không,7,Không,Không có,Không có bình chứa,,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164719,3050911000544,297039,41,7,Panasonic,Malaysia,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Chế độ ghi nhớ sở thích U-memory | Chọn chế độ tắm U-mode | Vòi sen tích hợp Ag+ kháng khuẩn | Màn hình LCD",38,3,Làm nóng trực tiếp,4500W,Không,2022,Không,Nhật Bản,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Nhiều mức độ,Tối thiểu 0.05 Bar - Tối đa 3.87 Bar,Nóng liền,Khoảng 45°C,Không,Không,Không,Không,Nhựa ABS kháng khuẩn,Nhựa ABS kháng khuẩn,Có kèm theo vòi sen 3 chế độ phun,21,Không,7,Không,Có,Không có bình chứa,6690000,5860000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164718,3050911000548,297038,41,7,Panasonic,Malaysia,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Vòi sen tích hợp Ag+ kháng khuẩn | Bơm trợ lực vận hành siêu êm",38,3,Làm nóng trực tiếp,4500W,Không,2022,Không,Nhật Bản,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Nhiều mức độ,Tối thiểu 0.05 Bar - Tối đa 3.87 Bar,Nóng liền,Khoảng 45°C,Không,Không,Không,Không,Nhựa ABS kháng khuẩn,Nhựa ABS kháng khuẩn,Có kèm theo vòi sen 3 chế độ phun,21,Không,7,Không,Có,Không có bình chứa,5290000,4660000,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164717,3050911000546,297037,41,7,Panasonic,Malaysia,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Vòi sen tích hợp Ag+ kháng khuẩn | Bơm trợ lực vận hành siêu êm",38,3,Làm nóng trực tiếp,4500W,Không,2022,Không,Nhật Bản,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Nhiều mức độ,Tối thiểu 0.1 Bar - Tối đa 3.87 Bar,Nóng liền,Khoảng 55°C,Không,Không,Không,Không,Nhựa ABS kháng khuẩn,Nhựa ABS kháng khuẩn,Có kèm theo vòi sen 3 chế độ phun,21,Không,7,Không,Có,Không có bình chứa,,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164716,3050911000547,297036,41,7,Panasonic,Malaysia,,"Thanh nhiệt bằng đồng làm nóng nhanh, bền bỉ | Vòi sen tích hợp Ag+ kháng khuẩn",38,2,Làm nóng trực tiếp,4500W,Không,2022,Không,Nhật Bản,Cầu dao chống rò điện ELCB | Cảm biến nhiệt tự động ngắt điện khi nhiệt độ quá cao | Vỏ chống thấm nước IP25 | Cảm biến lưu lượng nước,Nhiều mức độ,Tối thiểu 0.1 Bar - Tối đa 3.87 Bar,Nóng liền,Khoảng 55°C,Không,Không,Không,Không,Nhựa ABS kháng khuẩn,Nhựa ABS kháng khuẩn,Có kèm theo vòi sen 3 chế độ phun,21,Không,7,Không,Không có,Không có bình chứa,,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
