model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Chất liệu thân vỏ,Tiện ích,Cao,Ngang,Sâu,Khối lượng máy,Công suất đầu ra,Độ ồn,Số lượng,Dòng sản phẩm,Loại sản phẩm,Bảng điều khiển,Công nghệ,Công nghệ sấy,Chương trình,Dài ống cấp nước,Dài ống xả nước,Tiêu thụ nước,Chất liệu cửa,Khay chén,giá gốc,giá khuyến mãi,khuyến mãi quà
180722,1753859000025,362957,39,133,Bosch,Ba Lan,Thép không gỉ,Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Chức năng vệ sinh máy | Tự động hé cửa ở cuối chương trình | Chức năng tự làm mềm nước | Aquastop - tự ngắt nguồn nước khi có rò rỉ | Hẹn giờ bắt đầu rửa | Âm báo kết thúc chương trình | Chỉ báo mức muối làm mềm nước | Chỉ báo chất trợ xả | Màn hình LED hiển thị dễ quan sát | Chức năng tăng tốc độ rửa SpeedPerfect+ | Động cơ Inverter BLDC | Rửa bán tải Half load,84,60,60,53,2400W,46 dB,4 - 5 bữa ăn Việt (13 bộ châu Âu),2025,Máy rửa chén độc lập,Nút nhấn,Công nghệ rửa diệt khuẩn Hygiene Plus | Hỗ trợ hòa tan viên tẩy rửa Dosage Assistant | Rửa bằng nước nóng | ActiveWater Hydraulic,Heat Exchanger + Drying assist (nhiệt có sẵn + sấy hỗ trợ - có hé cửa),Rửa chuyên sâu | Ghi nhớ chương trình (chương trình yêu thích) | Rửa tiết kiệm ECO | Rửa nhanh 65°C | Rửa yên tĩnh | Rửa tự động,165,190,4 ~ 14 lít/lần rửa,Thép không gỉ,Khung xương khay dưới có thể gập xuống | Khay trên có thể thay đổi chiều cao | Khay để muỗng đũa,,,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180595,1753859000024,360563,39,346,Haier,Trung Quốc,Sơn tĩnh điện,Khoá trẻ em | Điều khiển từ xa thông qua ứng dụng Haismart | Bảo quản giữ khô & ấm trong 168 giờ | Chương trình rửa an toàn cho ly thủy tinh 45°C | Tự động hé cửa ở cuối chương trình | Chức năng rửa chuyên sâu | Màn hình LED hiển thị dễ quan sát | Động cơ Inverter BLDC | Khử khuẩn bằng tia UV | Rửa bán tải Half load,76,59,58,42,1720W - 2050W,47 dB,6 - 7 bữa ăn Việt (15 bộ Châu Âu),2026,Máy rửa chén độc lập,Cảm ứng,Rửa vi hơi nóng 80°C | Power Wash,Sấy hé tự động | Extra Dry - Sấy tăng cường,Rửa thường | Rửa mạnh | Rửa nhanh 25 phút | Rửa trực tuyến | Rửa AI | Rửa rau củ | Rửa khay nướng | Tự làm sạch | Rửa hơi nước | Khử trùng,150,150,~ 11.6 lít/lần rửa,Kính đen,Khay để muỗng đũa | Khay trên | Khay dưới có thể để nồi chảo,19990000,14990000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Tặng thêm 2 năm bảo hành chính hãng (Xem chi tiết tại đây) | 1 đổi 1 trong 365 ngày (lỗi do NSX). (Lỗi do NSX) (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180541,1753859000021,359636,39,8,LG,Hàn Quốc,PCM,"Tự động hé cửa ở cuối chương trình | Chức năng tự làm mềm nước | Đèn LED báo hết muối, hết nước làm bóng | Hẹn giờ bắt đầu rửa (từ 1 - 12 tiếng) | Điều khiển bằng điện thoại qua ứng dụng LG ThinQ | Aquastop - chống tràn nước | Động cơ Direct Drive Inverter | Màn hình LED hiển thị dễ quan sát | Cảm biến độ bẩn",85,60,60,51,1600W - 1800W,46 dB,14 bộ châu Âu,2025,Máy rửa chén độc lập,Cảm ứng,Quadwash - làm sạch đa hướng | Vario Plus - linh hoạt khu vực rửa,Sấy ngưng tụ,Rửa chuyên sâu | Rửa nhẹ | Chương trình tải xuống | Vệ sinh khoang rửa | Rửa tráng | Rửa tiết kiệm ECO | Rửa tăng cường | Rửa tự động | Rửa nhanh,165,180,~ 9.6 lít/lần rửa,VCM,Khay dao kéo | Khay trên có thể thay đổi chiều cao | Khay dưới,21990000,16990000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180408,1753859000018,357523,39,347,Hafele,Trung Quốc,Thép không gỉ,"Khoá trẻ em | Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Động cơ Inverter BLDC | Khử khuẩn bằng tia UV",84,59,60,55,1760W - 2100W,47 dB,4 - 5 bữa ăn Việt (15 bộ Châu Âu),2025,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Tay rửa phụ Plus Wash | Rửa bằng nước nóng,Sấy nhiệt Turbo Air Pro | Sấy tăng cường,Rửa đồ thủy tinh | Rửa tiết kiệm ECO | Rửa yên tĩnh | Rửa diệt khuẩn | Tự làm sạch | Rửa 90 phút | Rửa tự động | Rửa nhanh,160,138,~ 9.8 lít/lần rửa,Thép không gỉ,Khay dao kéo | Khay dưới | Khay giữa có thể thay đổi chiều cao,26990000,17190000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180407,1753859000019,357521,39,347,Hafele,Trung Quốc,Thép không gỉ,"Khoá trẻ em | Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Động cơ Inverter BLDC | Khử khuẩn bằng tia UV",80,60,59,42,1760W - 2100W,49 dB,4 - 5 bữa ăn Việt (15 bộ Châu Âu),2025,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Rửa bằng nước nóng,Sấy nhiệt Turbo Air Pro | Sấy tăng cường,Rửa thường | Rửa tiết kiệm ECO | Rửa diệt khuẩn | Tự làm sạch | Rửa tự động | Rửa nhanh,165,138,~ 14.1 lít/lần rửa,Thép không gỉ,Khay dao kéo | Khay dưới | Khay giữa có thể thay đổi chiều cao,21590000,12290000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180406,1753859000020,357516,39,347,Hafele,Trung Quốc,Thép không gỉ,"Khoá trẻ em | Hẹn giờ bắt đầu rửa (từ 1 - 24 tiếng) | Tự động hé cửa ở cuối chương trình | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Động cơ Inverter BLDC",84,59,60,55,1760W - 2100W,49 dB,4 - 5 bữa ăn Việt (14 bộ châu Âu),2025,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Tay rửa phụ Plus Wash | Rửa bằng nước nóng,Sấy tăng cường,Rửa ngâm | Rửa thường | Rửa mạnh | Rửa tiết kiệm ECO | Rửa ly tách dễ vỡ | Rửa 90 phút | Rửa tự động | Rửa nhanh,150,138,~ 10 lít/lần rửa,Thép không gỉ,Khay dao kéo | Khay dưới | Khay giữa có thể thay đổi chiều cao,19990000,,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
180302,1753859000017,344392,39,133,Bosch,Ba Lan,Thép không gỉ,"Khoá trẻ em | Điều khiển bằng điện thoại thông qua ứng dụng Home Connect | Aquastop Plus - Tự ngắt nguồn nước khi có rò rỉ | Đèn LED báo hết muối, hết nước làm bóng | AquaSensor - Cảm biến nước | Chức năng vệ sinh máy Machine care | Chức năng tăng tốc độ rửa SpeedPerfect | Chức năng hẹn giờ  (từ 1 - 24 tiếng) | Extra Dry - Sấy tăng cường | Chế độ làm sạch Hygiene Plus | Rửa bán tải Half load",84,60,60,50,2400W,46 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2023,Máy rửa chén độc lập,Nút nhấn | Màn hình hiển thị,Hỗ trợ hòa tan viên tẩy rửa Dosage Assistant | Rửa bằng nước nóng,Heat Exchanger - Sấy trao đổi nhiệt,Rửa chuyên sâu | Ghi nhớ chương trình (chương trình yêu thích) | Rửa tiết kiệm ECO | Rửa nhanh 65°C | Rửa yên tĩnh | Rửa tự động,165,190,~ 9 lít/lần rửa,Thép không gỉ,Khay dao kéo | Khay dưới | Khay trên,23900000,16590000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179986,1753859000009,334876,39,7,Panasonic,Trung Quốc,Thép không gỉ,"Đèn báo hết muối | Sấy khô (0,5 giờ, 1 giờ, không khí, giữ ấm) | Tạm dừng | Hẹn giờ bắt đầu rửa (4 tiếng sau) | Cài đặt máy theo độ cứng của nước",59,55,34,19,1170W,49 dB,~2 bữa ăn Việt (6 bộ Châu Âu),2023,Máy rửa chén mini,Tiếng Anh | Cảm ứng,Rửa bằng nước nóng | 3 vòi phun quay và 1 vòi phun cố định,Sấy gió | Sấy nhiệt,Rửa chuyên sâu | Chỉ sấy khô | Rửa cơ bản 80°C | Rửa tiết kiệm ECO 80°C | Rửa chuyên sâu 80°C | Rửa tăng tốc | Rửa chăm sóc | Rửa chăm sóc 80°C | Rửa tăng tốc 80°C | Rửa tiết kiệm ECO | Rửa cơ bản,160,100,~ 9.9 lít/lần rửa (Chương trình Eco),Nhựa tái chế,Khay dưới | Khay trên,15130000,15130000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179984,1753859000008,334635,39,8,LG,Hàn Quốc,PCM,Hẹn giờ bắt đầu rửa | Điều khiển bằng điện thoại qua ứng dụng LG ThinQ | Aquastop - chống tràn nước | Rửa kép điều chỉnh lực nước linh hoạt cho từng ngăn | Chế độ im lặng Silence mod | Rửa bán tải Half load | Khóa bảng điều khiển,85,60,60,51,1600W - 1800W,41 dB,3 - 4 bữa ăn Việt (14 bộ châu Âu),2025,Máy rửa chén độc lập,Màn hình hiển thị | Cảm ứng,Quadwash - làm sạch đa hướng | Vario Plus - linh hoạt khu vực rửa | Công nghệ TrueSteam rửa bằng nước nóng và hơi nước,Sấy hé tự động | Sấy ngưng tụ,Rửa chuyên sâu | Rửa nhẹ | Rửa tiêu chuẩn (tiết kiệm) | Chương trình tải xuống | Vệ sinh khoang rửa | Rửa tráng | Rửa tăng cường | Rửa tự động | Rửa nhanh | Làm mới,165,180,~ 9.6 lít/lần rửa,PCM,Khay dao kéo | Khay trên có thể thay đổi chiều cao | Khay dưới,24540000,17890000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
179959,1753859000007,333817,39,315,Electrolux,Trung Quốc,Kim loại sơn tĩnh điện,"Tự động hé cửa ở cuối chương trình | Đèn LED báo hết muối, hết nước làm bóng | Chống tràn và rò rỉ | Màn hình LED hiển thị dễ quan sát",60,55,50,24,1620W,49 dB,2 - 3 bữa ăn Việt (8 bộ Châu Âu),2024,Máy rửa chén mini,Nút nhấn | Tiếng Anh,Rửa bằng nước nóng,AirDry (nhiệt sẵn làm bốc hơi nước + tự động hé cửa),Vệ sinh máy | Rửa nhẹ | Rửa tiêu chuẩn (tiết kiệm) | Rửa thường | Rửa vệ sinh | Rửa sơ | Rửa nhanh,150,150,~ 8 lít/lần rửa,Thép không gỉ,Khay dưới | Giá đựng dao kéo | Khay trên,8890000,6090000,"Cơ hội trúng tủ chăm sóc quần áo trị giá 58 triệu đồng. (Xem chi tiết tại đây) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
