model_code,sku,productidweb,category_code,brand,SIM,Thực hiện cuộc gọi,"Chuẩn chống nước, bụi",Dung lượng pin,Cổng sạc,Thời gian ra mắt,Màn hình hiển thị,Kích thước màn hình,Độ phân giải,Dài,Ngang,Dày,Khối lượng máy,Chip xử lý (CPU),Hệ điều hành,Kết nối,Chất liệu thân vỏ,Phụ kiện đi kèm,Wifi,Thẻ nhớ,Tốc độ CPU,RAM,Chip đồ họa (GPU),Bluetooth,"Cổng tai nghe, headphone",Tính năng đặc biệt,Ghi âm,Radio,Loại pin,Công nghệ pin,Hỗ trợ sạc tối đa,Dung lượng lưu trữ,Dung lượng khả dụng,Quay phim,Tính năng camera sau,Tính năng camera trước,Mạng di động,GPS,giá gốc,giá khuyến mãi,khuyến mãi quà
172174,2440931001115,345544,30,Honor,Không có,Không có,Không,7020,Type-C,09/2025,IPS LCD,"8.7""",,211,124,7,365,Snapdragon 680 8 nhân,Android 15,,Kim loại nguyên khối,10 W,Dual-band | Wi-Fi 5,Không có,4 nhân 2.4 GHz & 4 nhân 1.9 GHz,4 GB,Adreno 610,v5.0,Type-C,Mở khóa bằng khuôn mặt | Khoanh tròn để tìm kiếm với Google | Trợ lý Google Gemini | Loa kép | Chế độ trẻ em,Có,Không có,Li-Ion,Tiết kiệm pin,18 W,64 GB,49,FullHD 1080p@30fps,Xóa phông | Tự động lấy nét | Đèn Flash,Xóa phông,Không có,,3290000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng máy lọc nước trị giá 300.000đ"
172001,2440931001093,339828,30,Honor,Không có,Không có,Không,8300,Type-C,07/2025,IPS LCD,"11.5""",,267,167,6,475,Snapdragon 685 8 nhân,Android 15,OTG,Kim loại nguyên khối,35,Dual-band | Wi-Fi 5,Không có,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,8 GB,Adreno 610,v5.1,3.5 mm,Google Kids Space | 4 loa | Mở rộng bộ nhớ RAM | Ứng dụng kép (Nhân bản ứng dụng) | Âm thanh AKG,Có,Có,Li-Ion,Tiết kiệm pin | Sạc pin nhanh,35,256 GB,227,FullHD 1080p@30fps,Xóa phông | Tự động lấy nét | HDR | Nhãn dán (AR Stickers),HDR | Trôi nhanh thời gian (Time Lapse) | Nhãn dán (AR Stickers),Không có,A-GPS | GALILEO | GLONASS | GPS | BDS,8490000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng máy lọc nước trị giá 300.000đ"
171942,2440931001089,339287,30,OPPO,Không có,Không có,IPX2,9340,Type-C,07/2025,IPS LCD,"11""",,254,166,7,527,MediaTek Helio G100 8 nhân,Android 15,OTG,Khung nhựa & Mặt lưng hợp kim nhôm,Không,Dual-band | Wi-Fi 802.11 a/b/g/n | Wi-Fi Display | Wi-Fi 5,Không có,2 nhân 2.2 GHz & 6 nhân 2 GHz,4 GB,Adreno 610,v5.0,Type-C,Mở khóa bằng khuôn mặt | Tăng cường độ nét AI | Trợ lý viết AI | Làm rõ ảnh mờ AI | Tóm tắt tài liệu AI | Dịch văn bản AI | Trợ lý Google Gemini | Xoá vật thể AI | Chế độ trẻ em | Âm thanh Hi-Res Audio | Xoá phản chiếu AI,Có,Không có,Li-Po,SUPERVOOC | Tiết kiệm pin,33 W,128 GB,103,HD 720p@30fps | FullHD 1080p@30fps,Tự động lấy nét | Toàn cảnh (Panorama) | Tua nhanh thời gian (Time‑lapse) | Nhãn dán (AR Stickers),Flash màn hình | Quay video Full HD | Trôi nhanh thời gian (Time Lapse) | Quay video HD | Nhãn dán (AR Stickers) | Toàn cảnh (Panorama) | Làm đẹp,Không có,Không,7290000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng máy lọc nước trị giá 300.000đ"
171714,2440931000929,333917,30,OPPO,Không có,Không có,IPX2,9520,Type-C,01/2025,LTPS LCD,"11.61""",,257,189,6,536,MediaTek Dimensity 8350 8 nhân,Android 15,OTG,Kim loại nguyên khối,Không,Dual-band | Wi-Fi 6 | 6 GHz | Wi-Fi 5,Không,3.35 GHz,8 GB,Mali-G615 MC6,v5.4,Type-C,Chia đôi màn hình | Mở khóa bằng khuôn mặt | Chạm 2 lần tắt/mở màn hình | Cửa sổ nổi,Không,Không,Li-Po,SUPERVOOC | Tiết kiệm pin,67 W,256 GB,230,4K 2160p@30fps | FullHD 1080p@30fps,Xóa phông | Toàn cảnh (Panorama) | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Làm đẹp | Quét tài liệu | Nhãn dán (AR Stickers),Trôi nhanh thời gian (Time Lapse) | Nhãn dán (AR Stickers) | Toàn cảnh (Panorama),Không có,,11780000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng máy lọc nước trị giá 300.000đ"
171602,2440931000923,331807,30,Tcl,Không có,Không có,Không,6000 mAh,Type-C,11/2024,IPS LCD,"10.1""",,241,156,7,472,MediaTek Helio G36 8 nhân,Android 14,OTG,Kim loại nguyên khối,10 W,Wi-Fi 802.11 a/b/g/n/ac,"Micro SD, hỗ trợ tối đa 1 TB",2.2 GHz,4 GB,IMG GE8320,v5.0,3.5 mm,Loa kép | Chế độ trẻ em,Có,Có,Li-Po,Tiết kiệm pin,10 W,64 GB,45,FullHD 1080p@30fps,Xóa phông | Camera AI,Quay video Full HD,Không có,,2740000,2740000,"Cơ hội trúng giải sự kiện World Cup tổng giải thưởng đến 150 triệu Xem chi tiết | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng máy lọc nước trị giá 300.000đ"
171156,2440931000690,318353,30,Honor,Không có,Không có,Không,7250 mAh,Type-C,07/2023,TFT LCD,"11.5""",,267,167,6,495,Snapdragon 685 8 nhân,Android 13,,Nhôm nguyên khối,10 W,Dual-band | Wi-Fi 802.11 a/b/g/n/ac,Không,4 nhân 2.8 GHz & 4 nhân 1.9 GHz,4 GB,Adreno 610,v5.1,Type-C,Đa cửa sổ | Mở khóa bằng khuôn mặt | 6 loa | Trợ lý ảo Google | Hẹn giờ bật/tắt nguồn | Chạm 2 lần mở màn hình | Mở rộng bộ nhớ RAM | Ứng dụng kép (Nhân bản ứng dụng) | Khoá ứng dụng,Có,Không,Li-Po,Tiết kiệm pin | Sạc pin nhanh,22.5 W,128 GB,115,HD 720p@30fps | FullHD 1080p@30fps,Xóa phông | HDR | Zoom kỹ thuật số | Tua nhanh thời gian (Time‑lapse) | Làm đẹp | Camera AI | Chụp hẹn giờ | Quét tài liệu | Quét mã QR | Chuyên nghiệp (Pro) | Bộ lọc màu,Hẹn giờ chụp | Flash màn hình | Quay video Full HD | Trôi nhanh thời gian (Time Lapse) | Bộ lọc màu | Quay video HD | Xóa phông | Làm đẹp,Không có,A-GPS | GALILEO | GLONASS | GPS | BDS,4899273,4899273,"Cơ hội trúng giải sự kiện World Cup tổng giải thưởng đến 150 triệu Xem chi tiết | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Phiếu mua hàng máy lọc nước trị giá 300.000đ"
148574,9001122073700,60892,30,Lenovo,,,,,,,,,,,,,-,,,,,,,,,,Adreno 203,,Đang cập nhật,,Đang cập nhật,Đang cập nhật,,,,,,,,,,,,,
148573,9001122073200,60891,30,Lenovo,,,,,,,Đang cập nhật,,,,,,-,Đang cập nhật,,,,,,,,,Đang cập nhật,,Đang cập nhật,,Đang cập nhật,Không,,,,,,,,,,,,,
187400,7008360002315,60400,30,LG,Không có,,,,Micro USB,,,"8.3""",,,,,338,,,,,,,,1.7 GHz,2 GB,Adreno 320,,3.5 mm,,Có,Không,,,,16 GB,,FullHD 1080p@30fps,,,,,,,
187401,7008360002301,60400,30,LG,Không có,,,,Micro USB,,,"8.3""",,,,,338,,,,,,,,1.7 GHz,2 GB,Adreno 320,,3.5 mm,,Có,Không,,,,16 GB,,FullHD 1080p@30fps,,,,,,,
