model_code,sku,productidweb,category_code,brand_id,brand,Tính năng cơ bản,Loại pin bộ phát,Nhiệt độ hoạt động bộ phát,Thời gian hoạt động bộ thu,Dung lượng pin hộp sạc,Sạc đầy bộ thu,Chu kỳ sạc,Khoảng cách truyền,Phụ kiện đi kèm,Băng tần,Năm sản xuất,Cổng sạc,"Cổng tai nghe, headphone",Kết nối,Loại sản phẩm,Sản xuất tại,Tương thích,Thời gian sử dụng,Thương hiệu của,Khối lượng máy,Loại pin hộp sạc,Dung lượng pin bộ phát,Thời gian hoạt động bộ phát,Thời gian sạc bộ phát,Tần số hoạt động,Loại pin bộ thu,Dung lượng pin bộ thu,Thời gian sạc bộ thu,Công suất truyền / phát,Nhiệt độ hoạt động bộ thu,Hướng thu âm,Áp suất âm thanh (SPL),Kích thước,Sạc đầy bộ phát,Phiên bản,giá gốc,giá khuyến mãi,khuyến mãi quà
147987,0160079000009,286933,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2022,6,3,454,16,Tối đa 50 m,2 mic phát | Lọc gió | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2022,Type-C,Lightning,Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone),8 - 10 tiếng,Trung Quốc,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
147988,0160079000010,286936,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2022,6,3,"7,454",4,Tối đa 50 m,2 mic phát | Lọc gió | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2022,Type-C,Type-C,Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,8 - 10 tiếng,Trung Quốc,,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
147989,0160079000011,313056,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,,6,3,"7,454",19,Tối đa 50 m,"Túi đựng | 2 mic phát | 3 đầu chuyển đổi (Lightning, Type C, 3.5 mm) | Hộp sạc | Lọc gió | Cáp sạc | 1 mic thu | Sách hướng dẫn",2.4 Ghz,,Type-C,"Lightning, Type C, 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,8 - 10 tiếng,Trung Quốc,255,,,,,,,,,,,,,,,,,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137859,0160079000020,336323,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2024,,3,"7,869,1,454,21,5",19,50,"Túi đựng | Thẻ bảo hành | Đầu bọc micro | 2 mic phát | 3 đầu chuyển đổi (Lightning, Type C, 3.5 mm) | Cáp sạc | 1 mic thu | Sách hướng dẫn",2.4 Ghz,2024,,"Lightning, Type C, 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,Camera | iPadOS | iOS (iPhone) | macOS | Android | Windows,8 - 10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,2345000,2150000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137860,0160079000021,336324,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2024,,3,"454,21,5",16,50,Túi đựng | Thẻ bảo hành | Bông lọc âm xốp | 1 mic phát | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2024,,Lightning,Bluetooth,Micro thu âm không dây,Trung Quốc,iPadOS | iOS (iPhone) | macOS,8 - 10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,735000,650000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137861,0160079000022,336325,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,443,2024,,3,"7,1,454,21,5",4,50,Túi đựng | Thẻ bảo hành | Bông lọc âm xốp | 1 mic phát | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2024,,Type-C,Bluetooth,Micro thu âm không dây,Trung Quốc,iPadOS | iOS (iPhone) | macOS | Android | Windows,8 - 10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,735000,650000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137862,0160079000023,336336,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,444,2024,,3,"454,21,5",16,50,Túi đựng | 2 Bông lọc âm xốp | Thẻ bảo hành | 2 mic phát | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2024,,Lightning,Bluetooth,Micro thu âm không dây,Trung Quốc,iPadOS | iOS (iPhone) | macOS,9-10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,970000,850000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137863,0160079000024,336338,137,233,Boya,Tự động kết nối | Lọc tiếng ồn | Ngắt micro tạm thời,444,2024,,3,"7,1,454,21,5",4,50,Túi đựng | 2 Bông lọc âm xốp | Thẻ bảo hành | 2 mic phát | Cáp sạc | 1 mic thu | Sách hướng dẫn,2.4 Ghz,2024,,Type-C,Bluetooth,Micro thu âm không dây,Trung Quốc,iPadOS | iOS (iPhone) | macOS | Android | Windows,9-10 tiếng,Trung Quốc,,50,,,,,,,,,,,,,,,970000,890000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137864,0160079000027,336340,137,233,Boya,Đèn Led RGB | Lọc tiếng ồn,41,2024,,3,"7,1,454,21,5",21,Hãng không công bố,1 Màng lọc âm | Cáp dữ liệu | 1 Micro | Bộ chuyển đổi ren | Chân đế để bàn,2.4 Ghz,2024,,"Type-C, Jack 3.5mm",Bluetooth,Micro Podcast/livestream,Trung Quốc,iPadOS | iOS (iPhone) | macOS | Android | Windows,Không,Trung Quốc,415,Hãng không công bố,,,,,,,,,,,,,,,775000,730000,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
137538,0164128000051,332522,137,237,Dji,Tự động kết nối | Gắn từ tính | Safety Track | Màn hình cảm ứng kết hợp núm điều chỉnh | Intelligent Noise Cancelling | Ngắt micro tạm thời,Li-ion,-10° đến 45°C,6,2,"7,454",19,Tối đa 250 m,,2.4 - 2.4835 GHz,,,"Lightning, Type C, 3.5mm",Bluetooth,Micro thu âm không dây,Trung Quốc,iOS (iPhone) | Android,6 tiếng,Trung Quốc,"28, 28, 28",Tối đa 250 m,360,6,70 phút,"Low Cut Off: 50 Hz – 20 kHz, Low Cut On: 100 Hz – 20 kHz, 2.400-2.4835 GHz",Li-ion,360,70 phút,<20 dBm,-10° đến 45°C,Đa hướng,120,"46.06×30.96×21.83 mm, 54.20×28.36×22.49 mm",,,4695000,,Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ
