model_code,sku,productidweb,category_code,brand,Thời gian ra mắt,Màn hình hiển thị,Kích thước màn hình,Độ phân giải,Dài,Dày,Khối lượng máy,Bộ nhớ,Hệ điều hành,Hỗ trợ mainboard,Chất liệu thân vỏ,Hỗ trợ ổ cứng tối đa,Phụ kiện đi kèm,Đèn LED,Tản nhiệt nước,Tản nhiệt CPU,Tốc độ (RPM),Cổng kết nối,Cổng giao tiếp,Wifi,Thẻ nhớ,Webcam,Tính năng khác,Ổ đĩa quang,Rộng,Nguồn điện,Công nghệ CPU,Loại CPU,Tốc độ CPU,Tốc độ tối đa,Số nhân,Bộ nhớ đệm,Socket,Chipset,RAM,Loại RAM,Số khe RAM,Hỗ trợ RAM tối đa,Tản nhiệt RAM,Ổ cứng,Chuẩn kết nối ổ cứng,Khe cắm mở rộng,Màn hình cảm ứng,Thiết kế card,Công nghệ âm thanh,Model Mainboard,Form Factor,Socket (mainboard),Loại RAM mainboard,Số khe RAM mainboard,Tốc độ Bus RAM mainboard,Hỗ trợ RAM tối đa/mainboard,Hỗ trợ khe cắm SSD M.2/HDD,Số khe cắm mở rộng,Cổng I/O mặt sau,Kết nối Internet,Card đồ hoạ onboard,Model GPU,Chip đồ họa (GPU),Bus bộ nhớ,Chuẩn giao tiếp,Bộ nguồn đề xuất,Hỗ trợ OC,Yêu cầu cấp nguồn trực tiếp,Cổng xuất hình ảnh,Số lượng quạt,Loại Case,giá gốc,giá khuyến mãi,khuyến mãi quà
172208,3643563000432,357648,72,Singpc,2025,Không có,Không có,Không có,135,40,1,Không,Windows 11 Pro,Không,Không,Không,Không,Không,Không,Không,Không,1 x HDMI 2.0 | 2 x LAN (RJ45) | 1 x DisplayPort 1.4 | 2 x USB 2.0,Không,Wi-Fi 6(802.11ax) | Bluetooth 5.2,Không có,Không,Không,Không,125,95 W,Không,125U,1.30 GHz,4.30 GHz,12 nhân - 14 luồng,12 MB,Không,Không,16 GB,DDR5 2 khe (1 khe 16 GB + 1 khe trống),2 khe,64 GB,Không,512 GB SSD M.2 NVMe,Không,1 x Khe cắm M.2 SATA/NVMe hỗ trợ PCIe 3.0 (Tối đa 4 TB) | 1 x Khe cắm SSD M.2 NVMe hỗ trợ PCIe 4.0 (Tối đa 4 TB),Không,Card đồ hoạ tích hợp,Intel Smart Sound | Không,Không,Không,Không,Không,Không,5000 Mhz,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,18000000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171573,3643563000351,330873,72,Singpc,2024,Không có,Không có,Không có,373,160,7,Không,Windows 11 Pro,Không,,Không,Không,Không,Không,Không,Không,1 x HDMI | 1 x DisplayPort | 1x LAN (RJ45) | 3 x Audio jacks | 1 x VGA (D-sub) | 4 x USB 2.0 | 2 x USB 3.2,Không,Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax | Bluetooth 5.2,Không có,Không,Đi kèm chuột & bàn phím không dây,Không,302,550 W,Không,12450H,2.00 GHz,4.4 GHz,,Không,Không,Hãng không công bố,8 GB,DDR4,2 khe,64 GB,Không,SSD 256 GB M.2 NVMe,Không,SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3,Không,Card đồ hoạ tích hợp,Realtek ALC897 | Không,Không,Không,Không,Không,Không,2133,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,13300000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171574,3643563000352,330875,72,Singpc,2024,Không có,Không có,Không có,373,160,7,Không,Windows 11 Pro,Không,,Không,Không,Không,Không,Không,Không,1 x HDMI | 1 x Display port | 1x LAN (RJ45) | 3 x Audio jacks | 1 x VGA (D-sub) | 4 x USB 2.0 | 2 x USB 3.2,Không,Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax | Bluetooth 5.2,Không có,Không,Không,Không,302,550 W,Không,13620H,2.40 GHz,4.9 GHz,,Không,Không,Hãng không công bố,16 GB,DDR4,2 khe,64 GB,Không,512 GB SSD M.2 NVMe,Không,SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3,Không,Card đồ hoạ tích hợp,Realtek ALC897 | Không,Không,Không,Không,Không,Không,2133,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,19500000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171571,3643563000349,330848,72,Singpc,2024,Độ sáng 250 nits | IPS | Chống chói Anti Glare,23.8 inch,Full HD (1920 x 1080),540,228,7,Không,Windows 11 Pro,,,,Không,Không,Không,Không,Không,,1x MIC in | 1 x USB Type-C | 1 x COM | 1 x LAN (RJ45) | 1 x Line-out | 1 x HDMI | 2 x USB 3.2 Gen 2 | 2 x USB 2.0 | 2 x USB 3.2,WiFi 802.11 B/G/N/AC | Bluetooth 5.0,Không có,3.1 MP (with Mic),Đi kèm chuột & bàn phím,Không,519,150 W,Intel Core i3 Alder Lake,12100,3.30 GHz,4.30 GHz,,Không,Không,Intel H610 Chipset,8 GB,DDR4 SO-DIMM,2 khe,64 GB,Không,512 GB SSD M.2-PCIe,,SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3,Không,Card đồ hoạ tích hợp,Realtek ALC897,Không,Không,Không,,Không,2133,Không,,,,,Không,Không,Không,Không,Không,Không,Không,Không,,Không,Không,15600000,14390000,"Phiếu mua hàng Bộ lưu điện trị giá 500.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171572,3643563000350,330863,72,Singpc,2025,Độ sáng 250 nits | IPS | Chống chói Anti Glare,23.8 inch,Full HD (1920 x 1080),540,519,7,Không,Windows 11 Pro,,,,Không,Không,Không,Không,Không,,1x MIC in | 1 x USB Type-C | 1 x COM | 1 x LAN (RJ45) | 1 x Line-out | 1 x HDMI | 2 x USB 3.2 Gen 2 | 2 x USB 2.0 | 2 x USB 3.2,WiFi 802.11 B/G/N/AC | Bluetooth 5.0,Không có,3.1 MP (with Mic),Đi kèm chuột & bàn phím không dây,Không,228,150 W,Intel Core i5 Alder Lake,12400,2.50 GHz,4.4 GHz,,Không,Không,Intel H610 Chipset,8 GB,DDR4 SO-DIMM,2 khe,64 GB,Không,512 GB SSD M.2-PCIe,,SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3,Không,Card đồ hoạ tích hợp,Realtek ALC897,Không,Không,Không,,Không,2133,Không,,,,,Không,Không,Không,Không,Không,Không,Không,Không,,Không,Không,17600000,16390000,"Phiếu mua hàng Bộ lưu điện trị giá 500.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171719,3643563000397,334321,72,Singpc,2025,,Không có,Không có,205,55,2,Không,Windows 11 Pro,,,,Không,Không,Không,Không,Không,1 x HDMI 2.0 | 2 x HD audio jack | 1 x VGA/COM | 4 x USB 3.2 Gen 1 | 1x LAN (RJ45),,Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax | Bluetooth 5.2,Không có,Không,Không,Không,193,90 W,Intel Core i7 Raptor Lake,13620H,2.40 GHz,4.9 GHz,,Không,Không,Hãng không công bố,16 GB,DDR4,2 khe,64 GB,Không,512 GB SSD M.2 NVMe,,SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3,Không,Card đồ hoạ tích hợp,Realtek ALC897 7.1 CH HD Audio,Không,Không,Không,,Không,2133,Không,,,,,Không,Không,Không,Không,Không,,Không,Không,,Không,Không,12190000,12190000,"Phiếu mua hàng Bộ lưu điện trị giá 500.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
171718,3643563000396,334320,72,Singpc,2025,,Không có,Không có,205,55,2,Không,Windows 11 Pro,,,,Không,Không,Không,Không,Không,1 x HDMI 2.0 | 2 x HD audio jack | 1 x VGA/COM | 4 x USB 3.2 Gen 1 | 1x LAN (RJ45),,Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax | Bluetooth 5.2,Không có,Không,Không,Không,193,90 W,Intel Core i5 Alder Lake,12450H,2.00 GHz,4.4 GHz,,Không,Không,Hãng không công bố,8 GB,DDR4,2 khe,64 GB,Không,SSD 256 GB M.2 NVMe,,SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3,Không,Card đồ hoạ tích hợp,Realtek ALC897 7.1 CH HD Audio,Không,Không,Không,,Không,2133,Không,,,,,Không,Không,Không,Không,Không,,Không,Không,,Không,Không,12500000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172036,3643563000424,341116,72,Singpc,2025,Độ sáng 250 nits | IPS | Chống chói Anti Glare,23.8 inch,Full HD (1920 x 1080),540,519,7,Không,Windows 11 Pro,Không,,Không,Không,Không,Không,Không,Không,Không có,1x MIC in | 1 x USB Type-C | 1 x COM | 1 x LAN (RJ45) | 1 x Line-out | 1 x HDMI | 2 x USB 3.2 Gen 2 | 2 x USB 2.0 | 2 x USB 3.2,WiFi 802.11 B/G/N/AC | Bluetooth 5.0,Không có,3.1 MP (with Mic),Đi kèm chuột & bàn phím không dây,Không,228,150 W,Không,12400,2.50 GHz,4.4 GHz,,Không,Không,Intel H610 Chipset,16 GB (1 thanh),DDR4 SO-DIMM,2 khe,64 GB,Không,512 GB SSD M.2-PCIe,Không,SSD 2.5 inch SATA 3 hoặc HDD 2.5 inch SATA 3,Không,Card đồ hoạ tích hợp,Realtek ALC897 | Không,Không,Không,Không,Không,Không,2133,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,Không,21500000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172038,3643563000423,341120,72,Singpc,2025,Không có,Không có,Không có,300,100,4,Không,Windows 11 Pro,Micro-ATX | Mini-ITX,Kim loại,2 x SSD 2.5 inch | 1 x HDD 3.5 inch,Không,Không,Không,Không,Không,Không có,Không,Không,Không có,Không,Không,Không,290,250 W,AMD Ryzen 3000 Series | AMD Ryzen 5000 series | AMD Ryzen 2000 G-Series | AMD Ryzen 4000 G-Series | AMD Ryzen 2000 Series | AMD Ryzen 1000 Series | AMD Athlon with Radeon Vega Graphics | AMD Ryzen 5000 G-Series | AMD Ryzen 3000 G-Series,PRO 4650G,3.70 GHz,4.20 GHz,6 nhân - 12 luồng,Không,AM4,AMD B450,16 GB (1 thanh),DDR4,Không,Không,Không,512 GB,SSD M.2 NVMe,Không,Không,Không có,Realtek ALC897 Codec 7.1 Kênh | High Definition Audio | Không có,B450M-A PRO MAX II,Micro-ATX,AM4,DDR4,2 x DDR4 DIMM,2133,64 GB,4 x SATA 6Gb/s ports | 1 x M.2 (M Key) Socket,1 x PCI-E x16 slot | 1 x PCI-E x1 slot,1 x HDMI | 2 x USB 2.0 | 1 x DVI-D | 2 x PS/2 | 1 x LAN (RJ45) | 3 x Audio jacks | 4 x USB 3.2,1 x Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax,Có,Không,Không,Không,Không,Không,Không,Không,Không,Không,SFF,12000000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
172037,3643563000422,341119,72,Singpc,2025,Không có,Không có,Không có,300,100,4,Không,Windows 11 Pro,Micro-ATX | Mini-ITX,Kim loại,2 x SSD 2.5 inch | 1 x HDD 3.5 inch,Không,Không,Không,Không,Không,Không có,Không,Không,Không có,Không,Không,Không,290,250 W,AMD Ryzen 3000 Series | AMD Ryzen 5000 series | AMD Ryzen 2000 G-Series | AMD Ryzen 4000 G-Series | AMD Ryzen 2000 Series | AMD Ryzen 1000 Series | AMD Athlon with Radeon Vega Graphics | AMD Ryzen 3000 G-Series,3200G,3.60 GHz,4.4 GHz,4 nhân - 4 luồng,Không,AM4,AMD B450,8 GB (1 thanh),DDR4,Không,Không,Không,256 GB,SSD M.2 NVMe,Không,Không,Không có,High Definition Audio | ALC897 7.1 Kênh | Không có,B450M-A PRO MAX II,Micro-ATX,AM4,DDR4 (Dual Channel),2 x DDR4 DIMM,2133,64 GB,4 x SATA 6Gb/s ports | 1 x M.2 (M Key) Socket,1 x PCI-E x16 slot | 1 x PCI-E x1 slot,1 x HDMI | 1 x LAN | 2 x USB 2.0 | 1 x DVI-D | 2 x PS/2 | 3 x Audio jacks | 4 x USB 3.2,1 x Wi-Fi 6 (2x2) 802.11 b/g/n/ac/ax,Có,Không,Không,Không,Không,Không,Không,Không,Không,Không,SFF,9800000,,"Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời"
