model_code,sku,productidweb,category_code,brand_id,brand,Kiểu dáng,Công nghệ làm lạnh,Sản xuất tại,Thời gian ra mắt,Chất liệu khay ngăn lạnh,Dung tích tổng,Dung tích ngăn đá,Dung tích ngăn lạnh,Điện năng tiêu thụ,Chất liệu thân vỏ,Số người sử dụng,Dung tích sử dụng,Công nghệ tiết kiệm điện,Công nghệ bảo quản thực phẩm,Tiện ích,Chất liệu động cơ,Dung tích ngăn chuyển đổi,Số cửa,Cao,Ngang,Sâu,Khối lượng máy,Lấy nước ngoài,Chế độ tự động,giá gốc,giá khuyến mãi,khuyến mãi quà
165156,1751097000147,358160,38,2,Samsung,Ngăn đá dưới,Công nghệ làm lạnh vòm All-around Cooling giúp kiểm soát chặt chẽ sự thay đổi nhiệt độ,Việt Nam,2025,Kính cường lực,313 lít,92 lít,215 lít,381,Kim loại phủ sơn tĩnh điện,3 - 4 người,307 lít,Digital Inverter,Ngăn đông mềm -1 độ C Optimal Fresh Zone,Hệ thống làm đá tự động Auto Ice Maker | Lấy nước bên ngoài tiện lợi | Đèn LED chiếu sáng,Ống dẫn gas bằng Đồng và Nhôm - Lá tản nhiệt bằng Nhôm,Không có,2 cánh,170,59,66,63,Có,Có,14990000,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165220,1751097000183,363109,38,18,Hisense,Ngăn đá trên,Luồng khí lạnh đa chiều Multi Air Flow,Trung Quốc,2026,Kính cường lực,424 lít,101 lít,323 lít,395,Mặt gương soi,3 - 4 người,424 lít,Inverter Pro,Ngăn Moisture Fresh Crisper cân bằng độ ẩm,Hộp đá xoay di động | Đèn LED chiếu sáng,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,Không,2 cánh,172,70,68,69,Không,Không,10990000,10990000,"1 đổi 1 trong vòng 180 ngày (Lỗi do NSX). (click xem chi tiết) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165219,1751097000182,363108,38,18,Hisense,Ngăn đá trên,Luồng khí lạnh đa chiều Multi Air Flow,Trung Quốc,2026,Kính cường lực,326 lít,72 lít,252 lít,413,Mặt gương soi,3 - 4 người,324 lít,Inverter Pro,Ngăn Moisture Fresh Crisper cân bằng độ ẩm | Ngăn Fresh Zone,Hộp đá xoay di động | Thiết kế cửa tủ thông minh có thể kéo ra hoàn toàn khi mở cửa tủ 90 độ | Cửa đảo chiều | Đèn LED chiếu sáng,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,Không,2 cánh,169,59,56,56,Không,Không,9490000,8960000,"1 đổi 1 trong vòng 180 ngày (Lỗi do NSX). (click xem chi tiết) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165218,1751097000181,363107,38,18,Hisense,Tủ lớn - Side by Side,Luồng khí lạnh đa chiều Multi Air Flow | Công nghệ 2 dàn lạnh độc lập,Trung Quốc,2026,Kính cường lực,544 lít,197 lít,347 lít,594,Mặt thép,4 - 5 người,544 lít,Inverter Pro | Cảm biến nhiệt độ thông minh,Ngăn Moisture Fresh Crisper cân bằng độ ẩm,Chế độ AI | Hộp đá xoay di động | Bảng điều khiển cảm ứng bên ngoài cửa tủ | Làm đông cực nhanh Super Freeze | Làm lạnh nhanh Super Cool | Đèn LED chiếu sáng,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,Không,2 cánh,178,91,64,85,Không,Không,13990000,12640000,"1 đổi 1 trong vòng 180 ngày (Lỗi do NSX). (click xem chi tiết) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165217,1751097000180,363106,38,18,Hisense,Tủ lớn - Side by Side,Luồng khí lạnh đa chiều Multi Air Flow | Công nghệ 2 dàn lạnh độc lập,Trung Quốc,2026,Kính cường lực,544 lít,197 lít,347 lít,594,Mặt gương soi,4 - 5 người,544 lít,Inverter Pro | Cảm biến nhiệt độ thông minh,Ngăn Moisture Fresh Crisper cân bằng độ ẩm,Chế độ AI | Hộp đá xoay di động | Bảng điều khiển cảm ứng bên ngoài cửa tủ | Làm đông cực nhanh Super Freeze | Làm lạnh nhanh Super Cool | Đèn LED chiếu sáng,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,Không,2 cánh,178,91,64,85,Không,Không,14990000,13440000,"1 đổi 1 trong vòng 180 ngày (Lỗi do NSX). (click xem chi tiết) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165216,1751097000179,363105,38,18,Hisense,Multi Door,Luồng khí lạnh đa chiều Multi Air Flow,Trung Quốc,2026,Kính cường lực,427 lít,149 lít,278 lít,536,Mặt gương soi,4 - 5 người,427 lít,Inverter Pro | Cảm biến nhiệt độ thông minh,Ngăn Moisture Fresh Crisper cân bằng độ ẩm | Ngăn linh hoạt Cool Fresh Box,Chế độ AI | Hộp đá xoay di động | Làm đông cực nhanh Super Freeze | Làm lạnh nhanh Super Cool | Thiết kế cửa tủ thông minh có thể kéo ra hoàn toàn khi mở cửa tủ 90 độ | Đèn LED chiếu sáng,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,Không,4 cánh,181,79,64,86,Không,Không,14490000,13190000,"1 đổi 1 trong vòng 180 ngày (Lỗi do NSX). (click xem chi tiết) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165215,1751097000178,363090,38,18,Hisense,Multi Door,Luồng khí lạnh đa chiều Multi Air Flow,Trung Quốc,2026,Kính cường lực,427 lít,171 lít,256 lít,482,Mặt thép,4 - 5 người,427 lít,Inverter Pro | Cảm biến nhiệt độ thông minh,Ngăn Moisture Fresh Crisper cân bằng độ ẩm | Ngăn linh hoạt Cool Fresh Box,Chế độ AI | Hộp đá xoay di động | Làm đông cực nhanh Super Freeze | Làm lạnh nhanh Super Cool | Thiết kế cửa tủ thông minh có thể kéo ra hoàn toàn khi mở cửa tủ 90 độ | Đèn LED chiếu sáng,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,Không,4 cánh,181,79,64,86,Có,Không,14490000,14190000,"1 đổi 1 trong vòng 180 ngày (Lỗi do NSX). (click xem chi tiết) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165214,1751097000177,363088,38,18,Hisense,Multi Door,Luồng khí lạnh đa chiều Multi Air Flow | Công nghệ 2 dàn lạnh độc lập,Trung Quốc,2026,Kính cường lực,488 lít,84 lít,313 lít,523,Mặt gương mờ,4 - 5 người,488 lít,Inverter Pro,Ngăn chuyển đổi nhiệt độ My Fresh Choice -18°C - 5°C,Đèn LED chiếu sáng | Điều khiển từ xa qua ứng dụng ConnectLife,Ống dẫn gas bằng Đồng - Lá tản nhiệt bằng Nhôm,91 lít,4 cánh,178,79,68,134,Không,Có,17990000,17640000,"1 đổi 1 trong vòng 180 ngày (Lỗi do NSX). (click xem chi tiết) | Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165213,1751097000176,362938,38,11,Toshiba,Multi Door,Công nghệ 2 dàn lạnh độc lập,Trung Quốc,2026,Kính chịu lực,552 lít,172 lít,349 lít,573,Mặt kính,3 - 4 người,521 lít,Origin Inverter,Công nghệ đông sâu -30°C (Ultra-low temperature),Điều khiển từ xa trên ứng dụng TSmartLife | Khay kệ linh hoạt | Làm đông sâu | Cảnh báo quên đóng cửa tủ trên ứng dụng | Bảng điều khiển cảm ứng bên ngoài cửa tủ | Làm đông nhanh,Ống dẫn gas bằng Hợp kim Đồng - Lá tản nhiệt bằng Nhôm,Không có,4 cánh,191,83,60,106,Không,Không,26490000,20440000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165212,1751097000175,362937,38,11,Toshiba,Multi Door,Công nghệ 2 dàn lạnh độc lập,Trung Quốc,2026,Kính chịu lực,554 lít,172 lít,348 lít,573,Mặt kính,3 - 4 người,520 lít,Origin Inverter,Công nghệ đông sâu -30°C (Ultra-low temperature),Điều khiển từ xa trên ứng dụng TSmartLife | Khay kệ linh hoạt | Làm đông sâu | Cảnh báo quên đóng cửa tủ trên ứng dụng | Bảng điều khiển cảm ứng bên ngoài cửa tủ | Làm đông nhanh,Ống dẫn gas bằng Hợp kim Đồng - Lá tản nhiệt bằng Nhôm,Không có,4 cánh,191,83,60,114,Không,Không,29590000,26440000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Máy rửa chén trị giá 1 triệu | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng máy lọc nước trị giá 300.000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
