model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Thời gian ra mắt,Dung tích tổng,Điện năng tiêu thụ,Công nghệ tiết kiệm điện,Tiện ích,Chất liệu động cơ,Số cửa,Cao,Ngang,Sâu,Khối lượng máy,Độ ồn,Loại Gas,Loại sản phẩm,Chất liệu mặt,Công nghệ,Chất liệu ruột,Dung tích ngăn đông mềm,Thương hiệu của,Số ngăn,Nhiệt độ ngăn đông (độ C),giá gốc,giá khuyến mãi,khuyến mãi quà
165210,1750894000045,362701,40,184,Hoà Phát,Việt Nam,2025,300 lít,2.85 kWh/ngày,Không có,Nút điều khiển nhiệt độ bên ngoài tủ | Khóa cửa tủ | Giỏ đựng đồ | Lỗ thoát nước | Bánh xe,Nhôm sơn tĩnh điện,2 cửa,188,63,61,64,< 42 dB,R600a,Tủ mát,Công nghệ kính Low-E,Quạt đối lưu | Làm lạnh trực tiếp,Nhựa HIPS,Không,Việt Nam,1 ngăn mát,0 - 10°C,10300000,,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165209,1750893000055,362697,40,184,Hoà Phát,Trung Quốc,2025,,0.816 kWh/ngày,Không có,Nút điều khiển nhiệt độ bên ngoài tủ | Khóa cửa tủ | Giỏ đựng đồ | Lỗ thoát nước | Bánh xe | Dễ dàng chuyển đổi chế độ tủ mát/tủ đông,Nhôm,1 cửa,61,54,47,17,< 43 dB,R600a,Tủ đông,Không,Làm lạnh trực tiếp | null,PCM (Hợp kim thép),Không,Việt Nam,1 ngăn đông,-12 ~ -24 °C,3750000,2990000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165208,1750893000051,362696,40,193,Kangaroo,Việt Nam,2026,510 lít,0.82 kWh/ngày,Inverter,Nút điều khiển nhiệt độ bên ngoài tủ | Giỏ đựng đồ | Lỗ thoát nước | Hộc chứa dây điện | Bánh xe,Nhôm,2 cửa,85,115,58,40,45 - 55 dB,R600a,Tủ đông,Kính cường lực,Nano bạc kháng khuẩn | Làm lạnh trực tiếp,Nhôm kháng khuẩn,Không,Việt Nam,"1 ngăn đông, 1 ngăn mát",≤ -18°C,10990000,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165134,1750894000030,357271,40,187,Aqua,Trung Quốc,2025,652 lít,2.32 kWh/ngày,Không có,"Cửa kính | Hệ thống thoát nước tự động | Kháng khuẩn, khử mùi | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Đèn LED",Nhôm,2 cửa,198,98,65,108,63 dB,R290,Tủ mát,Kính cách nhiệt Low-E,Công nghệ làm lạnh Air Cooling,Nhựa HIPS kháng khuẩn,Không,Nhật Bản,1 ngăn mát,Không,19690000,17140000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165133,1750894000029,357270,40,187,Aqua,Trung Quốc,2025,537 lít,1.58 kWh/ngày,Không có,"Cửa kính | Hệ thống thoát nước tự động | Khóa cửa tủ | Kháng khuẩn, khử mùi | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Đèn LED",Nhôm,1 cửa,200,70,68,90,60 dB,R290,Tủ mát,Kính cách nhiệt Low-E,Công nghệ làm lạnh Air Cooling,Nhựa HIPS kháng khuẩn,Không,Nhật Bản,1 ngăn mát,Không,15690000,13740000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165132,1750894000028,356867,40,187,Aqua,Trung Quốc,2025,412 lít,1.52 kWh/ngày,Không có,"Cửa kính | Hệ thống thoát nước tự động | Khóa cửa tủ | Kháng khuẩn, khử mùi | Lỗ thoát nước | Bánh xe | Đèn LED",Nhôm,1 cửa,200,60,63,65,57 dB,R600a,Tủ mát,Kính cách nhiệt Low-E,Công nghệ làm lạnh Air Cooling,Nhựa HIPS kháng khuẩn,Không,Nhật Bản,1 ngăn mát,Không,12790000,10140000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165098,1750893000027,342631,40,11,Toshiba,Trung Quốc,2025,322 lít,402 kWh/năm,Inverter,Khóa cửa tủ | Giỏ đựng đồ | Lỗ thoát nước | Bánh xe | Dễ dàng chuyển đổi chế độ tủ mát/tủ đông | Làm lạnh nhanh | Đèn LED,Đồng,1 cửa,84,106,59,37,Hãng không công bố,R600a,Tủ đông,Không,Vật liệu xốp cách nhiệt giữ đông 100h không cần điện,Thép mạ kẽm,Không,Nhật Bản,1 ngăn đông,-24℃ đến -12℃,8990000,6190000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165082,1750893000024,341080,40,189,Alaska,Trung Quốc,2014,670 lít,299 kWh/năm,Không có,Khóa cửa tủ | Giỏ đựng đồ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe,Đồng,1 cửa,85,116,68,43,45 dB,R600a,Tủ đông,Không,Nano bạc kháng khuẩn | Làm lạnh trực tiếp,Nhôm sơn tĩnh điện,Không,Việt Nam,1 ngăn đông,≤ -18°C,8830000,8350000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165081,1750894000026,341079,40,189,Alaska,Trung Quốc,2025,626 lít,1.65 kWh/ngày,Không có,Cửa kính | Khoá cửa tủ | Hộp đèn LED | Cửa tự đóng | Bánh xe,Nhôm,1 cửa,177,61,57,56,54 dB,R600a,Tủ mát,Công nghệ kính Low-E,Công nghệ Fan Cooling,Nhựa HIPS,Không,Việt Nam,1 ngăn mát,Không,10800000,,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
165080,1750894000027,341078,40,189,Alaska,Trung Quốc,2023,1010 lít,3.6 kWh/ngày,Không có,Cửa kính | Khóa cửa tủ | Hộp đèn LED | Cửa tự đóng | Bánh xe,Đồng,1 cửa,207,70,69,83,< 65 dB,R134a,Tủ mát,Công nghệ kính Low-E,Công nghệ Fan Cooling,Nhôm sơn tĩnh điện,Không,Việt Nam,1 ngăn mát,Không,15700000,15100000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
